    nicmos_f205w 20716.9 1806.6 20636.1 21051.3 1940.0 1553.4 20163.4 1770.7 1864.0 3227.8 2266.5 2588.7 2974.2
    nicmos_f222m 22181.0  512.4 22175.1 22182.4  460.0  462.4 22123.2  440.4  478.0  767.1  802.2  740.5  820.4
       galex_fuv  1563.5   95.0  1560.7  1564.2   80.5   89.2  1538.3   73.3   87.8  139.1  169.7  129.8  174.4
       galex_nuv  2370.5  237.8  2358.2  2408.8  233.5  202.0  2281.8  204.0  240.6  405.6  327.3  350.6  404.2
     stromgren_u  3463.0  116.2  3461.0  3461.8  102.0  108.2  3443.6   97.1  109.4  172.7  197.2  162.5  200.6
     stromgren_v  4108.0   90.6  4107.0  4109.2   70.7   71.9  4101.8   71.1   71.9  143.7  143.7  146.8  141.8
     stromgren_b  4671.2   87.7  4670.4  4672.3   66.8   66.3  4666.6   67.4   66.1  140.6  138.2  144.2  135.5
     stromgren_y  5477.3  100.5  5476.4  5480.1   85.3   80.6  5472.5   85.0   81.5  163.4  156.7  163.9  156.4
         tycho_b  4204.4  260.0  4196.3  4230.4  244.7  211.9  4153.5  235.1  233.1  434.6  389.2  406.0  409.1
         tycho_v  5321.9  406.0  5307.0  5297.8  318.4  407.5  5171.8  264.7  371.9  504.0  810.5  413.1  766.5
          sdss_u  3562.8  192.7  3557.5  3584.0  187.3  163.9  3532.1  182.4  178.7  332.9  273.9  312.3  303.0
          sdss_g  4720.2  388.5  4703.8  4785.2  399.9  332.5  4609.5  368.2  394.8  686.5  506.3  586.4  634.2
          sdss_r  6186.9  343.9  6177.3  6219.8  347.1  316.2  6114.8  317.8  348.9  566.9  491.8  499.2  563.4
          sdss_i  7501.8  383.3  7492.0  7500.9  351.3  403.4  7394.8  303.6  419.1  545.6  628.5  469.2  696.2
          sdss_z  8963.9  525.4  8949.2  8896.0  363.1  555.6  8783.0  313.5  482.2  589.3 1083.1  514.6 1043.6
         2mass_j 12413.8  653.6 12396.4 12470.0  617.7  608.0 12296.5  595.4  645.8 1151.0  899.7 1084.6 1029.0
         2mass_h 16517.9  785.7 16499.2 16577.6  798.6  736.6 16370.0  735.6  801.2 1270.2 1137.0 1127.6 1281.0
        2mass_ks 21662.0  872.1 21644.3 21744.5  884.7  782.1 21554.4  848.6  850.7 1479.7 1198.9 1372.8 1337.0
       bessell_u  3592.7  220.2  3585.8  3612.9  208.5  192.3  3546.5  198.4  207.3  367.1  329.0  338.7  360.3
      bessell_bw  4406.3  354.5  4392.4  4398.1  293.0  354.5  4275.6  244.7  331.3  468.4  674.3  385.2  666.6
       bessell_b  4386.0  352.4  4372.3  4373.6  286.3  355.7  4253.6  236.2  328.4  453.9  682.3  371.4  667.5
