

This is a high resolution (resolving power=4000) Kurucz Vega model wavelength-extended to 303.2 microns.

Column 2 is the line blanketted emergent spectrum.

Column 3 is the unblanketted atmosphere's spectrum

A total error of 1.46% (global bias) can be assigned to the 2nd Column.


M. Cohen
26/05/1996
KURUCZ VEGA MODEL                       
TEFF  9400.K   log(GRAV)  3.900 TITLE SDSC GRID  [-0.5] i.e. metal poor
VTURB 0.0 KM/S      RESOLVING POWER 4000  Absolutely calibrated by M. Cohen (provided 01/06/96)

  Wavelength   F-lambda      F-lambda 
                (model)     (continuum)
   (microns)   W/cm2/um      W/cm2/um
   1.017400  6.126089E-13  6.150131E-13
   1.017500  6.121791E-13  6.147970E-13
   1.017600  6.117734E-13  6.146049E-13
   1.017710  6.118314E-13  6.143768E-13
   1.017810  6.118777E-13  6.141610E-13
   1.017920  6.116978E-13  6.139331E-13
   1.018020  6.115301E-13  6.137174E-13
   1.018120  6.113862E-13  6.135255E-13
   1.018230  6.112304E-13  6.132979E-13
   1.018330  6.110391E-13  6.130825E-13
   1.018430  6.106577E-13  6.128670E-13
   1.018540  6.098134E-13  6.126397E-13
   1.018640  6.092662E-13  6.124481E-13
   1.018740  6.094079E-13  6.122330E-13
   1.018850  6.095136E-13  6.120058E-13
   1.018950  6.096075E-13  6.117908E-13
   1.019060  6.095708E-13  6.115875E-13
   1.019160  6.093800E-13  6.113726E-13
   1.019260  6.091892E-13  6.111577E-13
   1.019370  6.089630E-13  6.109311E-13
   1.019470  6.087250E-13  6.107164E-13
   1.019580  6.084988E-13  6.105135E-13
   1.019680  6.083558E-13  6.102989E-13
   1.019780  6.082838E-13  6.100845E-13
   1.019890  6.081999E-13  6.098580E-13
   1.019990  6.081045E-13  6.096439E-13
   1.020100  6.079497E-13  6.094413E-13
   1.020200  6.077831E-13  6.092271E-13
   1.020300  6.075929E-13  6.090131E-13
   1.020410  6.074148E-13  6.087872E-13
   1.020510  6.072247E-13  6.085733E-13
   1.020620  6.070228E-13  6.083711E-13
   1.020720  6.068566E-13  6.081574E-13
   1.020820  6.067141E-13  6.079435E-13
   1.020930  6.065123E-13  6.077179E-13
   1.021030  6.063226E-13  6.075043E-13
   1.021140  6.060976E-13  6.073027E-13
   1.021240  6.059080E-13  6.070893E-13
   1.021350  6.057066E-13  6.068640E-13
   1.021450  6.055407E-13  6.066506E-13
   1.021550  6.053279E-13  6.064376E-13
   1.021660  6.050559E-13  6.062361E-13
   1.021760  6.045362E-13  6.060230E-13
   1.021870  6.039577E-13  6.057982E-13
   1.021970  6.039576E-13  6.055854E-13
   1.022080  6.040161E-13  6.053605E-13
   1.022180  6.040159E-13  6.051714E-13
   1.022290  6.039567E-13  6.049469E-13
   1.022390  6.037443E-13  6.047343E-13
   1.022490  6.035083E-13  6.045216E-13
   1.022600  6.032843E-13  6.042974E-13
   1.022700  6.030484E-13  6.041085E-13
   1.022810  6.028952E-13  6.038845E-13
   1.022910  6.027303E-13  6.036722E-13
   1.023020  6.024830E-13  6.034482E-13
   1.023120  6.022945E-13  6.032360E-13
   1.023230  6.021180E-13  6.030359E-13
   1.023330  6.019533E-13  6.028238E-13
   1.023440  6.017768E-13  6.026002E-13
   1.023540  6.015652E-13  6.023884E-13
   1.023650  6.013653E-13  6.021647E-13
   1.023750  6.011304E-13  6.019767E-13
   1.023860  6.009072E-13  6.017533E-13
   1.023960  6.006723E-13  6.015418E-13
   1.024070  6.004259E-13  6.013187E-13
   1.024170  6.002380E-13  6.011071E-13
   1.024280  6.001091E-13  6.009076E-13
   1.024380  5.999686E-13  6.006964E-13
   1.024490  5.997693E-13  6.004735E-13
   1.024590  5.993940E-13  6.002624E-13
   1.024700  5.989134E-13  6.000398E-13
   1.024800  5.986087E-13  5.998522E-13
   1.024910  5.984802E-13  5.996296E-13
   1.025010  5.984574E-13  5.994188E-13
   1.025120  5.984696E-13  5.991964E-13
   1.025220  5.983294E-13  5.989859E-13
   1.025330  5.981308E-13  5.987870E-13
   1.025430  5.979203E-13  5.985763E-13
   1.025540  5.977218E-13  5.983543E-13
   1.025640  5.975115E-13  5.981439E-13
   1.025750  5.972428E-13  5.979220E-13
   1.025850  5.969626E-13  5.977353E-13
   1.025960  5.966474E-13  5.975135E-13
   1.026060  5.965543E-13  5.973032E-13
   1.026170  5.964733E-13  5.970817E-13
   1.026270  5.963103E-13  5.968951E-13
   1.026380  5.960889E-13  5.966736E-13
   1.026480  5.958793E-13  5.964640E-13
   1.026590  5.956347E-13  5.962426E-13
   1.026690  5.954720E-13  5.960330E-13
   1.026800  5.952742E-13  5.958351E-13
   1.026900  5.950648E-13  5.956255E-13
   1.027010  5.948439E-13  5.954046E-13
   1.027120  5.946230E-13  5.951836E-13
   1.027220  5.944373E-13  5.949744E-13
   1.027330  5.942400E-13  5.947769E-13
   1.027430  5.940308E-13  5.945676E-13
   1.027540  5.937636E-13  5.943471E-13
   1.027640  5.933915E-13  5.941381E-13
   1.027750  5.927746E-13  5.939176E-13
   1.027850  5.924028E-13  5.937321E-13
   1.027960  5.924159E-13  5.935118E-13
   1.028070  5.924523E-13  5.932915E-13
   1.028170  5.925002E-13  5.930829E-13
   1.028280  5.924200E-13  5.928628E-13
   1.028380  5.922350E-13  5.926777E-13
   1.028490  5.920152E-13  5.924578E-13
   1.028590  5.918069E-13  5.922494E-13
   1.028700  5.915872E-13  5.920296E-13
   1.028810  5.913675E-13  5.918098E-13
   1.028910  5.909500E-13  5.916249E-13
   1.029020  5.903582E-13  5.914053E-13
   1.029120  5.899412E-13  5.911975E-13
   1.029230  5.897221E-13  5.909781E-13
   1.029340  5.898286E-13  5.907821E-13
   1.029440  5.900163E-13  5.905743E-13
   1.029550  5.899365E-13  5.903550E-13
   1.029650  5.897756E-13  5.901474E-13
   1.029760  5.895567E-13  5.899284E-13
   1.029870  5.893610E-13  5.897326E-13
   1.029970  5.891537E-13  5.895253E-13
   1.030080  5.889118E-13  5.893065E-13
   1.030180  5.887044E-13  5.890991E-13
   1.030290  5.884628E-13  5.888806E-13
   1.030400  5.882443E-13  5.886852E-13
   1.030500  5.880604E-13  5.884781E-13
   1.030610  5.878655E-13  5.882599E-13
   1.030720  5.876936E-13  5.880415E-13
   1.030820  5.874638E-13  5.878348E-13
   1.030930  5.871991E-13  5.876396E-13
   1.031030  5.869230E-13  5.874329E-13
   1.031140  5.866588E-13  5.872150E-13
   1.031250  5.864641E-13  5.869970E-13
   1.031350  5.862577E-13  5.867904E-13
   1.031460  5.860170E-13  5.865960E-13
   1.031570  5.858225E-13  5.863782E-13
   1.031670  5.857088E-13  5.861717E-13
   1.031780  5.855608E-13  5.859544E-13
   1.031890  5.852972E-13  5.857600E-13
   1.031990  5.849756E-13  5.855540E-13
   1.032100  5.845964E-13  5.853366E-13
   1.032200  5.844138E-13  5.851307E-13
   1.032310  5.843586E-13  5.849136E-13
   1.032420  5.842803E-13  5.847195E-13
   1.032520  5.841209E-13  5.845138E-13
   1.032630  5.839041E-13  5.842970E-13
   1.032740  5.835487E-13  5.840800E-13
   1.032840  5.825349E-13  5.838745E-13
   1.032950  5.813256E-13  5.836810E-13
   1.033060  5.812940E-13  5.834642E-13
   1.033160  5.815277E-13  5.832589E-13
   1.033270  5.811501E-13  5.830425E-13
   1.033380  5.806803E-13  5.828261E-13
   1.033480  5.803604E-13  5.826442E-13
   1.033590  5.802137E-13  5.824279E-13
   1.033700  5.808973E-13  5.822117E-13
   1.033810  5.815575E-13  5.819956E-13
   1.033910  5.814911E-13  5.817907E-13
   1.034020  5.812982E-13  5.815978E-13
   1.034130  5.810364E-13  5.813820E-13
   1.034230  5.808088E-13  5.811774E-13
   1.034340  5.806162E-13  5.809617E-13
   1.034450  5.803777E-13  5.807691E-13
   1.034550  5.800811E-13  5.805646E-13
   1.034660  5.798429E-13  5.803492E-13
   1.034770  5.797196E-13  5.801338E-13
   1.034880  5.795503E-13  5.799184E-13
   1.034980  5.793694E-13  5.797375E-13
   1.035090  5.791772E-13  5.795222E-13
   1.035200  5.789852E-13  5.793070E-13
   1.035300  5.788044E-13  5.791032E-13
   1.035410  5.786353E-13  5.788882E-13
   1.035520  5.784204E-13  5.786962E-13
   1.035630  5.782058E-13  5.784815E-13
   1.035730  5.780023E-13  5.782779E-13
   1.035840  5.778337E-13  5.780633E-13
   1.035950  5.776192E-13  5.778717E-13
   1.036050  5.774157E-13  5.776682E-13
   1.036160  5.772014E-13  5.774539E-13
   1.036270  5.769182E-13  5.772395E-13
   1.036380  5.764516E-13  5.770251E-13
   1.036480  5.759506E-13  5.768451E-13
   1.036590  5.757825E-13  5.766309E-13
   1.036700  5.756373E-13  5.764168E-13
   1.036810  5.751485E-13  5.762028E-13
   1.036910  5.747167E-13  5.760000E-13
   1.037020  5.748698E-13  5.758091E-13
   1.037130  5.748623E-13  5.755953E-13
   1.037240  5.739617E-13  5.753816E-13
   1.037340  5.731872E-13  5.751792E-13
   1.037450  5.730198E-13  5.749656E-13
   1.037560  5.732873E-13  5.747749E-13
   1.037670  5.737836E-13  5.745616E-13
   1.037780  5.740051E-13  5.743483E-13
   1.037880  5.737115E-13  5.741461E-13
   1.037990  5.734528E-13  5.739559E-13
   1.038100  5.732627E-13  5.737428E-13
   1.038210  5.731185E-13  5.735299E-13
   1.038310  5.730308E-13  5.733278E-13
   1.038420  5.728179E-13  5.731150E-13
   1.038530  5.725825E-13  5.729251E-13
   1.038640  5.723469E-13  5.727123E-13
   1.038750  5.721572E-13  5.724997E-13
   1.038850  5.719787E-13  5.722983E-13
   1.038960  5.718119E-13  5.720858E-13
   1.039070  5.716224E-13  5.718963E-13
   1.039180  5.714328E-13  5.716838E-13
   1.039280  5.710947E-13  5.714825E-13
   1.039390  5.707230E-13  5.712705E-13
   1.039500  5.705567E-13  5.710811E-13
   1.039610  5.703903E-13  5.708691E-13
   1.039720  5.701101E-13  5.706572E-13
   1.039830  5.698528E-13  5.704453E-13
   1.039930  5.696519E-13  5.702443E-13
   1.040040  5.695087E-13  5.700554E-13
   1.040150  5.694794E-13  5.698437E-13
   1.040260  5.693590E-13  5.696322E-13
   1.040370  5.690565E-13  5.694207E-13
   1.040470  5.686740E-13  5.692202E-13
   1.040580  5.682808E-13  5.690317E-13
   1.040690  5.679104E-13  5.688204E-13
   1.040800  5.676765E-13  5.686090E-13
   1.040910  5.676021E-13  5.683980E-13
   1.041020  5.675958E-13  5.682097E-13
   1.041120  5.674639E-13  5.680095E-13
   1.041230  5.672306E-13  5.677987E-13
   1.041340  5.671107E-13  5.675878E-13
   1.041450  5.670592E-13  5.673771E-13
   1.041560  5.668938E-13  5.671890E-13
   1.041670  5.667059E-13  5.669784E-13
   1.041780  5.665182E-13  5.667679E-13
   1.041880  5.663641E-13  5.665684E-13
   1.041990  5.661537E-13  5.663807E-13
   1.042100  5.659662E-13  5.661704E-13
   1.042210  5.657787E-13  5.659601E-13
   1.042320  5.655686E-13  5.657501E-13
   1.042430  5.653584E-13  5.655399E-13
   1.042540  5.651484E-13  5.653523E-13
   1.042640  5.649041E-13  5.651534E-13
   1.042750  5.646036E-13  5.649435E-13
   1.042860  5.642580E-13  5.647336E-13
   1.042970  5.640031E-13  5.645241E-13
   1.043080  5.639748E-13  5.643371E-13
   1.043190  5.639012E-13  5.641276E-13
   1.043300  5.637368E-13  5.639179E-13
   1.043410  5.634142E-13  5.637085E-13
   1.043510  5.628765E-13  5.635327E-13
   1.043620  5.620565E-13  5.633234E-13
   1.043730  5.611463E-13  5.631141E-13
   1.043840  5.612769E-13  5.629051E-13
   1.043950  5.619725E-13  5.626960E-13
   1.044060  5.621930E-13  5.625094E-13
   1.044170  5.620973E-13  5.623006E-13
   1.044280  5.619110E-13  5.620918E-13
   1.044390  5.617024E-13  5.618832E-13
   1.044500  5.614937E-13  5.616970E-13
   1.044600  5.613185E-13  5.614991E-13
   1.044710  5.610423E-13  5.612907E-13
   1.044820  5.607211E-13  5.610822E-13
   1.044930  5.602870E-13  5.608737E-13
   1.045040  5.598081E-13  5.606880E-13
   1.045150  5.593068E-13  5.604797E-13
   1.045260  5.588735E-13  5.602716E-13
   1.045370  5.586431E-13  5.600636E-13
   1.045480  5.581874E-13  5.598555E-13
   1.045590  5.567629E-13  5.596701E-13
   1.045700  5.541671E-13  5.594623E-13
   1.045810  5.508740E-13  5.592543E-13
   1.045920  5.503077E-13  5.590466E-13
   1.046030  5.523762E-13  5.588616E-13
   1.046130  5.529685E-13  5.586646E-13
   1.046240  5.525372E-13  5.584572E-13
   1.046350  5.540189E-13  5.582498E-13
   1.046460  5.564000E-13  5.580425E-13
   1.046570  5.570703E-13  5.578576E-13
   1.046680  5.568856E-13  5.576503E-13
   1.046790  5.564314E-13  5.574433E-13
   1.046900  5.559547E-13  5.572361E-13
   1.047010  5.559728E-13  5.570516E-13
   1.047120  5.559909E-13  5.568448E-13
   1.047230  5.549978E-13  5.566379E-13
   1.047340  5.541851E-13  5.564313E-13
   1.047450  5.545402E-13  5.562245E-13
   1.047560  5.548727E-13  5.560402E-13
   1.047670  5.551154E-13  5.558338E-13
   1.047780  5.551559E-13  5.556272E-13
   1.047890  5.549271E-13  5.554208E-13
   1.048000  5.547435E-13  5.552370E-13
   1.048110  5.546270E-13  5.550307E-13
   1.048220  5.544658E-13  5.548246E-13
   1.048330  5.543046E-13  5.546185E-13
   1.048440  5.541210E-13  5.544124E-13
   1.048550  5.539599E-13  5.542288E-13
   1.048660  5.536644E-13  5.540229E-13
   1.048770  5.533019E-13  5.538171E-13
   1.048880  5.529619E-13  5.536114E-13
   1.048990  5.526444E-13  5.534281E-13
   1.049100  5.525063E-13  5.532227E-13
   1.049210  5.524127E-13  5.530171E-13
   1.049320  5.521626E-13  5.528116E-13
   1.049430  5.519126E-13  5.526062E-13
   1.049540  5.519535E-13  5.524232E-13
   1.049650  5.519943E-13  5.522179E-13
   1.049760  5.518116E-13  5.520128E-13
   1.049870  5.516066E-13  5.518077E-13
   1.049980  5.513794E-13  5.516252E-13
   1.050090  5.509286E-13  5.514202E-13
   1.050200  5.499196E-13  5.512153E-13
   1.050310  5.486876E-13  5.510105E-13
   1.050420  5.473669E-13  5.508058E-13
   1.050530  5.475201E-13  5.506234E-13
   1.050640  5.489457E-13  5.504189E-13
   1.050750  5.491432E-13  5.502144E-13
   1.050860  5.486044E-13  5.500101E-13
   1.050970  5.481326E-13  5.498056E-13
   1.051080  5.477725E-13  5.496236E-13
   1.051190  5.477249E-13  5.494195E-13
   1.051300  5.477439E-13  5.492152E-13
   1.051410  5.476962E-13  5.490111E-13
   1.051520  5.475817E-13  5.488295E-13
   1.051640  5.473229E-13  5.486151E-13
   1.051750  5.471195E-13  5.484114E-13
   1.051860  5.473613E-13  5.482075E-13
   1.051970  5.475585E-13  5.480261E-13
   1.052080  5.471992E-13  5.478225E-13
   1.052190  5.461501E-13  5.476189E-13
   1.052300  5.444337E-13  5.474153E-13
   1.052410  5.437638E-13  5.472120E-13
   1.052520  5.446065E-13  5.470308E-13
   1.052630  5.454045E-13  5.468277E-13
   1.052740  5.459575E-13  5.466244E-13
   1.052850  5.461102E-13  5.464213E-13
   1.052960  5.459739E-13  5.462406E-13
   1.053070  5.457487E-13  5.460376E-13
   1.053190  5.455132E-13  5.458242E-13
   1.053300  5.452882E-13  5.456214E-13
   1.053410  5.450855E-13  5.454186E-13
   1.053520  5.448164E-13  5.452382E-13
   1.053630  5.445473E-13  5.450355E-13
   1.053740  5.444335E-13  5.448330E-13
   1.053850  5.442978E-13  5.446306E-13
   1.053960  5.437627E-13  5.444503E-13
   1.054070  5.426290E-13  5.442479E-13
   1.054190  5.405102E-13  5.440354E-13
   1.054300  5.393998E-13  5.438330E-13
   1.054410  5.403733E-13  5.436311E-13
   1.054520  5.413240E-13  5.434511E-13
   1.054630  5.422523E-13  5.432492E-13
   1.054740  5.424715E-13  5.430474E-13
   1.054850  5.420705E-13  5.428456E-13
   1.054960  5.416917E-13  5.426658E-13
   1.055070  5.413133E-13  5.424642E-13
   1.055190  5.408582E-13  5.422523E-13
   1.055300  5.404135E-13  5.420507E-13
   1.055410  5.406106E-13  5.418492E-13
   1.055520  5.409180E-13  5.416699E-13
   1.055630  5.409823E-13  5.414687E-13
   1.055740  5.408474E-13  5.412674E-13
   1.055850  5.404474E-13  5.410662E-13
   1.055970  5.399490E-13  5.408771E-13
   1.056080  5.393725E-13  5.406760E-13
   1.056190  5.390395E-13  5.404752E-13
   1.056300  5.393908E-13  5.402741E-13
   1.056410  5.395213E-13  5.400732E-13
   1.056520  5.392325E-13  5.398946E-13
