WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.860100E-19
PIVWV    r 5581.206
BANDW    r 163.2712
TPEAK    r 0.3821064
EQUVW    r 203.7352
RECTW    r 533.1897
EMFLX    r 2.090060E-16
     3157.121  8.724858E-11
     3157.518  8.705246E-11
     3157.915  8.685192E-11
      3158.31  8.664777E-11
     3158.705  8.643909E-11
     3159.101  8.622612E-11
     3159.496  8.600860E-11
     3159.893  8.578561E-11
     3160.289  8.654003E-11
     3160.684  8.766245E-11
      3161.08  8.879283E-11
     3161.478  8.993536E-11
     3161.873  9.108028E-11
     3162.271  9.223761E-11
     3162.667  9.339737E-11
     3163.062  9.456524E-11
     3163.458  9.574053E-11
     3163.854  9.692253E-11
     3164.252  9.811856E-11
     3164.648  9.931617E-11
     3165.046  1.005272E-10
     3165.442  1.017406E-10
     3165.839  1.029615E-10
     3166.235  1.041900E-10
     3166.631  1.054259E-10
     3167.029  1.066756E-10
     3167.426  1.079277E-10
     3167.822  1.091874E-10
     3168.219  1.104546E-10
     3168.617  1.117351E-10
     3169.014  1.130185E-10
     3169.412  1.143153E-10
     3169.809  1.156144E-10
     3170.206  1.185660E-10
     3170.603  1.230776E-10
     3170.999  1.276205E-10
     3171.398  1.322201E-10
     3171.795  1.368344E-10
     3172.194  1.415030E-10
     3172.591  1.461890E-10
     3172.988  1.509095E-10
     3173.385  1.556616E-10
     3173.784  1.604750E-10
     3174.181  1.652999E-10
     3174.579  1.701597E-10
     3174.976  1.750577E-10
     3175.374  1.799906E-10
     3175.773  1.849801E-10
     3176.172  1.900053E-10
      3176.57  1.950477E-10
     3176.967  2.001256E-10
     3177.365  2.052361E-10
     3177.763  2.103886E-10
      3178.16  2.155737E-10
      3178.56  2.208205E-10
     3178.958  2.260779E-10
     3179.357  2.313973E-10
     3179.755  2.367304E-10
     3180.154  2.452224E-10
     3180.552  2.587557E-10
     3180.951  2.724569E-10
      3181.35  2.862012E-10
     3181.748  3.000469E-10
     3182.146  3.139940E-10
     3182.544  3.280512E-10
     3182.945  3.422715E-10
     3183.345  3.565955E-10
     3183.743  3.709614E-10
     3184.142  3.854390E-10
      3184.54  4.000111E-10
     3184.939  4.146958E-10
     3185.339  4.295481E-10
     3185.738  4.444416E-10
     3186.137  4.594486E-10
     3186.537  4.746160E-10
     3186.936  4.898333E-10
     3187.335  5.051561E-10
     3187.736  5.206513E-10
     3188.135  5.361959E-10
     3188.534  5.518467E-10
     3188.933  5.675945E-10
     3189.332  5.834592E-10
     3189.732  5.994406E-10
     3190.134  6.226006E-10
     3190.534  6.595523E-10
     3190.933  6.967662E-10
     3191.333  7.342432E-10
     3191.732  7.719838E-10
     3192.133  8.101753E-10
     3192.533  8.484472E-10
     3192.932  8.870084E-10
     3193.332  9.258359E-10
     3193.734  9.651222E-10
     3194.133   1.004486E-9
     3194.533   1.044143E-9
     3194.935   1.084240E-9
     3195.335   1.124437E-9
     3195.735   1.164904E-9
     3196.135   1.205668E-9
     3196.535   1.246706E-9
     3196.937   1.288193E-9
     3197.337   1.329778E-9
     3197.739   1.371817E-9
     3198.139   1.413978E-9
      3198.54   1.456415E-9
      3198.94   1.499129E-9
     3199.342   1.542305E-9
     3199.742   1.585577E-9
     3200.143   1.646831E-9
     3200.544   1.740532E-9
     3200.946   1.835429E-9
     3201.347   1.930720E-9
     3201.749   2.027275E-9
      3202.15   2.124164E-9
     3202.551   2.221911E-9
     3202.952   2.320462E-9
     3203.353   2.419817E-9
     3203.754   2.520041E-9
     3204.156   2.621448E-9
     3204.557   2.723300E-9
      3204.96   2.826470E-9
     3205.362   2.929957E-9
     3205.763   3.034264E-9
     3206.164   3.139457E-9
     3206.567   3.245930E-9
     3206.969   3.352781E-9
      3207.37   3.460461E-9
     3207.771   3.569039E-9
     3208.175   3.678920E-9
     3208.576   3.789109E-9
      3208.98   3.900747E-9
     3209.381   4.012686E-9
     3209.783   4.125538E-9
     3210.185   4.283510E-9
     3210.587   4.495067E-9
      3210.99   4.709338E-9
     3211.392   4.924247E-9
     3211.794   5.140837E-9
     3212.198   5.360175E-9
       3212.6   5.580282E-9
     3213.002   5.802220E-9
     3213.406   6.026670E-9
     3213.809   6.252014E-9
     3214.211   6.478948E-9
     3214.613   6.707756E-9
     3215.016   6.938417E-9
      3215.42   7.171576E-9
     3215.822   7.405618E-9
     3216.227   7.642429E-9
     3216.629   7.880010E-9
     3217.032   8.119333E-9
     3217.435   8.360550E-9
     3217.837   8.603374E-9
     3218.242   8.849166E-9
     3218.645   9.095702E-9
     3219.048   9.344149E-9
     3219.452   9.595220E-9
     3219.855   9.847158E-9
     3220.258   1.020997E-8
     3220.663   1.063865E-8
     3221.066   1.106869E-8
     3221.469   1.150226E-8
     3221.873   1.193900E-8
     3222.276   1.237889E-8
     3222.681   1.282384E-8
     3223.086   1.327200E-8
      3223.49   1.372171E-8
     3223.893   1.417463E-8
     3224.297   1.463081E-8
       3224.7   1.509024E-8
     3225.106   1.555484E-8
