WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f222m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.931192E-20
PIVWV    r 22175.11
BANDW    r 511.4591
TPEAK    r 0.2713668
EQUVW    r 401.4564
RECTW    r 1479.387
EMFLX    r 8.132304E-17
     20680.51   0.002295214
     20680.83   0.002415847
     20681.17   0.002544645
     20681.49    0.00266532
     20681.83   0.002794901
     20682.15    0.00294175
     20682.49   0.003134085
     20682.81   0.003313265
     20683.12   0.003491376
     20683.44   0.003670615
     20683.78   0.003863083
      20684.1   0.003948157
     20684.44   0.003821106
     20684.76   0.003702746
      20685.1   0.003576379
     20685.42   0.003457979
     20685.74   0.003339559
     20686.05   0.003233785
     20686.39   0.003184005
     20686.71    0.00313763
     20687.03    0.00309153
     20687.37   0.003041724
     20687.71   0.002992196
     20688.03   0.002955406
     20688.35   0.003013536
     20688.67   0.003071676
     20689.01   0.003133747
     20689.32   0.003191908
     20689.64   0.003250077
     20689.98   0.003312182
     20690.32   0.003284497
     20690.64   0.003254154
     20690.96    0.00322399
     20691.28   0.003193636
     20691.62   0.003161043
     20691.94   0.003130677
     20692.26   0.003042698
      20692.6    0.00293374
     20692.91   0.002831653
     20693.23    0.00272955
     20693.57   0.002620537
     20693.89   0.002518396
     20694.23   0.002512921
     20694.55    0.00255325
     20694.87   0.002593834
     20695.21   0.002637415
     20695.53   0.002678014
     20695.85    0.00271862
     20696.19   0.002767519
      20696.5   0.002817655
     20696.84   0.002871184
     20697.16    0.00292134
     20697.48   0.002971503
     20697.82   0.003025368
     20698.14    0.00300978
     20698.46   0.002911055
      20698.8   0.002805651
     20699.12   0.002706892
     20699.46   0.002600846
     20699.78   0.002502659
     20700.09   0.002500288
     20700.44   0.002745818
     20700.75   0.002974547
     20701.07   0.003203309
     20701.41   0.003447546
     20701.73   0.003676377
     20702.07   0.003862269
     20702.39   0.003827604
