WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f785lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.727259E-18
PIVWV    r 8686.312
BANDW    r 578.1899
TPEAK    r 0.006783323
EQUVW    r 10.66919
RECTW    r 1572.855
EMFLX    r 8.155447E-15
     2115.099            0.
     2115.474            0.
     2115.848            0.
     2116.223            0.
     2116.599            0.
     2116.974            0.
      2117.35            0.
     2117.725            0.
     2118.099            0.
     2118.475            0.
     2118.851            0.
     2119.226            0.
     2119.601            0.
     2119.977            0.
     2120.353            0.
     2120.729            0.
     2121.105            0.
     2121.481            0.
     2121.856            0.
     2122.232            0.
     2122.609            0.
     2122.985            0.
     2123.361            0.
     2123.737            0.
     2124.115            0.
      2124.49            0.
     2124.867            0.
     2125.244            0.
      2125.62            0.
     2125.997            0.
     2126.374            0.
     2126.751            0.
     2127.127            0.
     2127.504            0.
     2127.882            0.
     2128.259            0.
     2128.636            0.
     2129.013            0.
      2129.39            0.
     2129.767            0.
     2130.145            0.
     2130.523            0.
     2130.901            0.
     2131.279            0.
     2131.655            0.
     2132.033            0.
     2132.411            0.
      2132.79            0.
     2133.167            0.
     2133.545            0.
     2133.923            0.
     2134.301            0.
      2134.68            0.
     2135.059            0.
     2135.436            0.
     2135.815            0.
     2136.194            0.
     2136.573            0.
      2136.95            0.
     2137.329            0.
     2137.709            0.
     2138.087            0.
     2138.467            0.
     2138.846            0.
     2139.224            0.
     2139.603            0.
     2139.983            0.
     2140.362            0.
      2140.74            0.
      2141.12            0.
       2141.5            0.
      2141.88            0.
      2142.26            0.
     2142.639            0.
     2143.018            0.
     2143.398            0.
     2143.778            0.
     2144.158            0.
     2144.539            0.
     2144.919            0.
     2145.298            0.
     2145.678            0.
     2146.059            0.
      2146.44            0.
     2146.819            0.
       2147.2            0.
     2147.581            0.
     2147.961            0.
     2148.342            0.
     2148.723            0.
     2149.103            0.
     2149.484            0.
     2149.865            0.
     2150.247            0.
     2150.627            0.
     2151.008            0.
     2151.391            0.
     2151.771            0.
     2152.153            0.
     2152.534            0.
     2152.916            0.
     2153.297            0.
     2153.679            0.
     2154.061            0.
     2154.441            0.
     2154.823            0.
     2155.206            0.
     2155.588            0.
      2155.97            0.
     2156.352            0.
     2156.734            0.
     2157.116            0.
     2157.499            0.
      2157.88            0.
     2158.264            0.
     2158.646            0.
     2159.028            0.
     2159.411            0.
     2159.794            0.
     2160.177            0.
     2160.559            0.
     2160.942            0.
     2161.325            0.
     2161.707            0.
     2162.092            0.
     2162.475            0.
     2162.859            0.
     2163.241            0.
     2163.625            0.
     2164.009            0.
     2164.391            0.
     2164.775            0.
      2165.16            0.
     2165.543            0.
     2165.927            0.
     2166.311            0.
     2166.694            0.
     2167.078            0.
     2167.462            0.
     2167.847            0.
      2168.23            0.
     2168.615            0.
        2169.            0.
     2169.384            0.
     2169.768            0.
     2170.153            0.
     2170.537            0.
     2170.922            0.
     2171.307            0.
     2171.692            0.
     2172.077            0.
     2172.462            0.
     2172.846            0.
     2173.231            0.
     2173.617            0.
     2174.002            0.
     2174.387            0.
     2174.772            0.
     2175.158            0.
     2175.542            0.
     2175.929            0.
     2176.315            0.
     2176.701            0.
     2177.086            0.
     2177.472            0.
     2177.858            0.
     2178.243            0.
      2178.63            0.
     2179.017            0.
     2179.402            0.
     2179.789            0.
     2180.176            0.
     2180.561            0.
     2180.948            0.
     2181.334            0.
     2181.721            0.
     2182.107            0.
     2182.494            0.
     2182.881            0.
     2183.268            0.
     2183.655            0.
     2184.042            0.
     2184.428            0.
     2184.816            0.
     2185.203            0.
      2185.59            0.
     2185.978            0.
     2186.366            0.
     2186.754            0.
      2187.14            0.
     2187.528            0.
     2187.916            0.
     2188.303            0.
     2188.691            0.
     2189.079            0.
     2189.467            0.
     2189.854            0.
     2190.244            0.
     2190.631            0.
      2191.02            0.
     2191.408            0.
     2191.797            0.
     2192.184            0.
     2192.573            0.
     2192.963            0.
     2193.351            0.
      2193.74            0.
     2194.129            0.
     2194.517            0.
     2194.906            0.
     2195.295            0.
     2195.684            0.
     2196.073            0.
     2196.462            0.
     2196.852            0.
     2197.241            0.
     2197.631            0.
     2198.021            0.
     2198.409            0.
     2198.799            0.
     2199.189            0.
     2199.578            0.
     2199.968            0.
     2200.359            0.
     2200.749            0.
     2201.138            0.
     2201.529            0.
     2201.919            0.
     2202.308            0.
     2202.699            0.
     2203.089            0.
      2203.48            0.
      2203.87            0.
     2204.262            0.
     2204.653            0.
     2205.042            0.
     2205.433            0.
     2205.824            0.
     2206.214            0.
     2206.606            0.
     2206.997            0.
     2207.388            0.
      2207.78            0.
     2208.171            0.
     2208.562            0.
     2208.953            0.
     2209.345            0.
     2209.737            0.
     2210.127            0.
      2210.52            0.
     2210.911            0.
     2211.303            0.
     2211.696            0.
     2212.088            0.
     2212.479            0.
     2212.871            0.
     2213.264            0.
