WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f190n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.995194E-19
PIVWV    r 19003.38
BANDW    r 62.56868
TPEAK    r 0.2514151
EQUVW    r 46.25806
RECTW    r 183.9908
EMFLX    r 9.200486E-17
     18562.78            0.
     18562.96   5.999878E-5
     18563.14   1.424655E-4
     18563.33   2.249324E-4
     18563.51   3.073997E-4
     18563.69   3.889901E-4
     18563.88   4.714578E-4
     18564.04   5.248726E-4
     18564.22   5.120240E-4
     18564.43   4.978089E-4
     18564.59   4.863275E-4
     18564.77   4.734790E-4
     18564.96   4.607672E-4
     18565.14   4.479187E-4
     18565.32   4.350701E-4
     18565.51   4.222214E-4
     18565.69   4.093728E-4
     18565.85   3.978908E-4
     18566.06   3.588094E-4
     18566.24   2.653603E-4
      18566.4   1.828465E-4
     18566.59   8.939693E-5
     18566.77            0.
     18566.95            0.
     18567.14            0.
     18567.32            0.
      18567.5            0.
     18567.69            0.
     18567.87            0.
     18568.05            0.
     18568.22            0.
     18568.42            0.
     18568.58            0.
     18568.77            0.
     18568.95            0.
     18569.13            0.
     18569.32            0.
      18569.5            0.
     18569.69            0.
     18569.87   4.214176E-5
     18570.05   1.014927E-4
     18570.24   1.442008E-4
     18570.42   1.869088E-4
     18570.58   2.246194E-4
     18570.79   2.723256E-4
     18570.97   3.150341E-4
     18571.13   3.527450E-4
     18571.32   3.954539E-4
      18571.5   4.381626E-4
     18571.68   4.808717E-4
     18571.87   5.235812E-4
     18572.05   5.425421E-4
     18572.23   4.993933E-4
     18572.42   4.562441E-4
      18572.6   4.130952E-4
     18572.79   3.699459E-4
     18572.95   3.318458E-4
     18573.15   2.836469E-4
     18573.31   2.455467E-4
      18573.5   2.023969E-4
     18573.68   1.592470E-4
     18573.87   1.160970E-4
     18574.05   8.739434E-5
     18574.23   9.856680E-5
     18574.42   1.097394E-4
      18574.6   1.209119E-4
     18574.78   1.320846E-4
     18574.97   1.432572E-4
     18575.13   1.532412E-4
     18575.31   1.644139E-4
      18575.5   1.755867E-4
     18575.68   1.867594E-4
     18575.87   1.979323E-4
     18576.05   2.011012E-4
     18576.23   1.821796E-4
     18576.42   1.632579E-4
      18576.6   1.443361E-4
     18576.78   1.256156E-4
     18576.96   1.066936E-4
     18577.13   8.978470E-5
     18577.33   6.884969E-5
      18577.5   5.194063E-5
     18577.68   3.301848E-5
     18577.86   1.409632E-5
     18578.05   1.259197E-5
     18578.23   6.188984E-5
     18578.41   1.111879E-4
      18578.6   1.604860E-4
     18578.78   2.097844E-4
     18578.96   2.590827E-4
     18579.15   3.083814E-4
     18579.33   3.576802E-4
     18579.52   4.069790E-4
      18579.7   4.562782E-4
     18579.86   5.003327E-4
     18580.05   5.129958E-4
     18580.23   4.188024E-4
     18580.41   3.246090E-4
      18580.6   2.304150E-4
     18580.78   1.362208E-4
     18580.96   4.202642E-5
     18581.15            0.
     18581.33            0.
     18581.52            0.
     18581.68            0.
     18581.86            0.
     18582.07            0.
     18582.23            0.
     18582.41            0.
      18582.6            0.
     18582.78            0.
     18582.96            0.
     18583.15            0.
     18583.33            0.
     18583.51            0.
      18583.7            0.
     18583.88            0.
     18584.04            0.
     18584.23            0.
     18584.43            0.
      18584.6            0.
     18584.78            0.
     18584.96            0.
     18585.15   1.452966E-4
     18585.33   2.992805E-4
     18585.51   4.532651E-4
      18585.7   6.072496E-4
     18585.88   7.612350E-4
     18586.06   8.484006E-4
     18586.25   8.120511E-4
     18586.41   7.795682E-4
      18586.6   7.432186E-4
      18586.8   7.030015E-4
     18586.96   6.705184E-4
     18587.15   6.341680E-4
     18587.33   5.978177E-4
     18587.51   5.614672E-4
      18587.7   5.251166E-4
     18587.88   4.887661E-4
     18588.06   4.449509E-4
     18588.23   3.934675E-4
     18588.43   3.297256E-4
     18588.62   2.721125E-4
     18588.78   2.206285E-4
     18588.96   1.630152E-4
     18589.15   1.054018E-4
     18589.33   4.778810E-5
     18589.51            0.
      18589.7            0.
     18589.88            0.
     18590.06            0.
     18590.25            0.
     18590.43            0.
      18590.6   5.802696E-5
      18590.8   1.339265E-4
     18590.98   2.018751E-4
     18591.15   2.618721E-4
     18591.33   3.298210E-4
     18591.51   3.977701E-4
      18591.7   4.657194E-4
     18591.88   5.336687E-4
     18592.07   5.623802E-4
     18592.25   5.198488E-4
     18592.43   4.773173E-4
     18592.62   4.347857E-4
      18592.8   3.922539E-4
     18592.96   3.546990E-4
     18593.17   3.071898E-4
     18593.35   2.646577E-4
     18593.52   2.266501E-4
      18593.7   1.841178E-4
     18593.88   1.415852E-4
     18594.07   9.831653E-5
     18594.25   5.374868E-5
     18594.43   9.180694E-6
     18594.62            0.
      18594.8            0.
     18594.98            0.
     18595.17            0.
     18595.33            0.
     18595.54            0.
      18595.7            0.
     18595.88            0.
     18596.07            0.
     18596.25            0.
     18596.43            0.
     18596.62            0.
      18596.8            0.
     18596.99   5.302879E-5
     18597.17   1.319717E-4
     18597.35   2.109147E-4
     18597.54   2.898581E-4
      18597.7   3.604034E-4
     18597.88   4.393472E-4
     18598.07   4.757877E-4
     18598.25   4.405791E-4
     18598.44   4.053701E-4
     18598.62   3.701613E-4
      18598.8   3.349523E-4
     18598.99   2.997433E-4
     18599.17   2.645340E-4
     18599.35   2.293248E-4
     18599.52   1.978610E-4
     18599.72   1.585312E-4
     18599.91   1.233216E-4
     18600.07   1.225465E-4
     18600.25   1.692439E-4
     18600.44   2.154496E-4
     18600.62   2.616550E-4
      18600.8   3.078604E-4
     18600.99   3.540655E-4
     18601.17   4.002705E-4
     18601.36   4.464753E-4
     18601.54   4.926799E-4
     18601.72   5.388844E-4
     18601.89   5.801736E-4
     18602.09   5.764324E-4
     18602.25   5.194806E-4
     18602.44   4.549808E-4
     18602.62   3.897953E-4
     18602.81   3.252961E-4
     18602.99   2.607972E-4
     18603.17   1.962984E-4
     18603.36   1.318000E-4
     18603.54   6.730176E-5
     18603.72   2.803767E-6
     18603.91            0.
     18604.07            0.
     18604.26            0.
     18604.46            0.
     18604.62            0.
     18604.81            0.
     18604.99   1.836847E-5
     18605.18   3.915023E-5
     18605.36   5.993191E-5
     18605.54   8.071352E-5
     18605.73   1.014951E-4
     18605.91   1.222765E-4
     18606.09   1.000433E-4
     18606.28   3.591292E-5
     18606.46            0.
     18606.63            0.
     18606.83            0.
     18606.99            0.
     18607.18            0.
     18607.36            0.
     18607.54            0.
     18607.73            0.
     18607.91            0.
      18608.1            0.
     18608.28            0.
     18608.46            0.
     18608.65            0.
     18608.81            0.
       18609.            0.
      18609.2            0.
     18609.36            0.
     18609.55            0.
     18609.73            0.
     18609.92            0.
      18610.1            0.
     18610.28            0.
     18610.47            0.
     18610.63            0.
     18610.83            0.
     18611.02            0.
     18611.18            0.
     18611.37   4.341838E-6
     18611.57   2.964992E-5
     18611.73   4.989629E-5
     18611.92   7.255287E-5
      18612.1   7.751090E-5
     18612.29   6.817397E-5
     18612.47   5.883711E-5
     18612.65   4.940094E-5
     18612.84   4.006414E-5
     18613.02   3.072735E-5
     18613.21   2.139062E-5
     18613.39   1.205391E-5
     18613.55   3.710502E-6
     18613.74            0.
     18613.92            0.
     18614.11   3.817452E-6
     18614.29   4.359767E-5
     18614.47   8.337777E-5
     18614.66   1.231577E-4
     18614.84   1.629375E-4
     18615.02   2.027171E-4
     18615.21   2.429198E-4
     18615.37   2.780442E-4
     18615.58   3.224782E-4
     18615.76   3.622574E-4
     18615.92   3.978046E-4
     18616.11   3.898219E-4
     18616.29   3.479723E-4
     18616.47   3.061228E-4
     18616.66   2.638282E-4
     18616.84   2.219790E-4
     18617.03   1.801299E-4
     18617.19   1.427330E-4
     18617.39   9.643225E-5
     18617.58   5.413845E-5
     18617.74   1.718715E-5
     18617.95            0.
     18618.13            0.
     18618.29            0.
     18618.48            0.
     18618.66            0.
     18618.85            0.
     18619.03            0.
     18619.21            0.
      18619.4            0.
     18619.58            0.
     18619.77            0.
     18619.95            0.
     18620.11            0.
     18620.32            0.
      18620.5            0.
     18620.67            0.
     18620.85            0.
     18621.03            0.
     18621.22            0.
      18621.4            0.
     18621.59            0.
     18621.77            0.
     18621.93            0.
     18622.14            0.
     18622.32            0.
     18622.49   1.761419E-5
     18622.67   7.183964E-5
     18622.85   1.260648E-4
     18623.04   1.802899E-4
     18623.22   2.350917E-4
     18623.41   2.893163E-4
     18623.59   3.435407E-4
     18623.77   3.977650E-4
     18623.96   4.519891E-4
     18624.14   4.647927E-4
      18624.3   4.649209E-4
     18624.51   4.650832E-4
     18624.67   4.652134E-4
     18624.86   4.653586E-4
     18625.04   4.655040E-4
     18625.25   4.656663E-4
     18625.41   4.657962E-4
     18625.59   4.659416E-4
     18625.78   4.660870E-4
     18625.96   4.662339E-4
     18626.15   4.145837E-4
     18626.33   3.498121E-4
     18626.51   2.850407E-4
     18626.68   2.271602E-4
     18626.86   1.623893E-4
     18627.07   9.003916E-5
     18627.23   3.215921E-5
     18627.41            0.
      18627.6            0.
     18627.78            0.
     18627.97            0.
     18628.15            0.
     18628.33            0.
     18628.52            0.
      18628.7            0.
     18628.89            0.
     18629.05            0.
     18629.25            0.
     18629.42            0.
      18629.6            0.
     18629.79            0.
     18629.97            0.
     18630.15            0.
     18630.34            0.
     18630.52            0.
     18630.71            0.
     18630.89            0.
     18631.08            0.
     18631.24            0.
     18631.42            0.
     18631.63            0.
     18631.79            0.
     18631.97            0.
     18632.16            0.
     18632.34            0.
     18632.53            0.
     18632.71            0.
      18632.9            0.
     18633.08   2.206611E-6
     18633.24   4.428076E-5
     18633.45   9.687326E-5
     18633.63   1.439558E-4
      18633.8   1.860295E-4
     18633.98   2.331118E-4
     18634.16   2.306067E-4
     18634.35   2.221088E-4
     18634.53   2.137006E-4
     18634.72   2.052922E-4
      18634.9   1.968840E-4
     18635.09   1.883863E-4
