WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f625w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.195395E-19
PIVWV    r 6310.452
BANDW    r 415.454
TPEAK    r 0.4433655
EQUVW    r 580.8473
RECTW    r 1310.087
EMFLX    r 1.762527E-16
     3146.106  2.866159E-11
     3146.499  2.841349E-11
     3146.891  2.816390E-11
     3147.285  2.791153E-11
     3147.678  2.765781E-11
     3148.071  2.740353E-11
     3148.463  2.714778E-11
     3148.857  2.688940E-11
      3149.25  2.663052E-11
     3149.642  2.637031E-11
     3150.035  2.612306E-11
     3150.429  2.602519E-11
     3150.823  2.592657E-11
     3151.216  2.582760E-11
     3151.609  2.572798E-11
     3152.003  2.562712E-11
     3152.396  2.552599E-11
     3152.789  2.542413E-11
     3153.182  2.532147E-11
     3153.577  2.521763E-11
     3153.969  2.511358E-11
     3154.363  2.500871E-11
     3154.758  2.490259E-11
     3155.151  2.479629E-11
     3155.546  2.468874E-11
     3155.939  2.458094E-11
     3156.332  2.447239E-11
     3156.726  2.436312E-11
     3157.121  2.425267E-11
     3157.514  2.414192E-11
     3157.908  2.403045E-11
     3158.303  2.391777E-11
     3158.698  2.380437E-11
     3159.092  2.369067E-11
     3159.486  2.357634E-11
     3159.879  2.346123E-11
     3160.275  2.359959E-11
     3160.669  2.384915E-11
     3161.063  2.409963E-11
     3161.457  2.435071E-11
     3161.854  2.460491E-11
     3162.248  2.485771E-11
     3162.642  2.511145E-11
     3163.036  2.536579E-11
     3163.432  2.562219E-11
     3163.827  2.587825E-11
     3164.221  2.613506E-11
     3164.615  2.639264E-11
     3165.011  2.665211E-11
     3165.407  2.691249E-11
     3165.802  2.717252E-11
     3166.197  2.743331E-11
     3166.591  2.769484E-11
     3166.988  2.795844E-11
     3167.382  2.822167E-11
     3167.777  2.848550E-11
     3168.172  2.875025E-11
     3168.568  2.901705E-11
     3168.965  2.928445E-11
      3169.36  2.955163E-11
     3169.755  2.981956E-11
     3170.152  3.040190E-11
     3170.547  3.148765E-11
