WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 8.039258E-18
PIVWV    r 5022.9
BANDW    r 36.46442
TPEAK    r 0.1919561
EQUVW    r 10.87409
RECTW    r 56.64887
EMFLX    r 4.827480E-16
     3128.595   1.308759E-6
     3128.987   1.309019E-6
     3129.379   1.309279E-6
     3129.772   1.309541E-6
     3130.164   1.309778E-6
     3130.557   1.309983E-6
     3130.949   1.310187E-6
     3131.341   1.310392E-6
     3131.733   1.310596E-6
     3132.125   1.310802E-6
     3132.517   1.311009E-6
     3132.909   1.311217E-6
     3133.303   1.311423E-6
     3133.696   1.311627E-6
      3134.09   1.311833E-6
     3134.482   1.312038E-6
     3134.874   1.312242E-6
     3135.267   1.312449E-6
     3135.659   1.312657E-6
     3136.052   1.312865E-6
     3136.444   1.313071E-6
     3136.838   1.313279E-6
     3137.231   1.313484E-6
     3137.625   1.313690E-6
     3138.018   1.313895E-6
     3138.411   1.314101E-6
     3138.804   1.314308E-6
     3139.197   1.314514E-6
      3139.59   1.314719E-6
     3139.983   1.314924E-6
     3140.377   1.315149E-6
     3140.771   1.315373E-6
     3141.166   1.315598E-6
     3141.559   1.315821E-6
     3141.952   1.316044E-6
     3142.345   1.316264E-6
     3142.739   1.316484E-6
     3143.132   1.316705E-6
     3143.525   1.316928E-6
     3143.921   1.317153E-6
     3144.314   1.317377E-6
     3144.709   1.317603E-6
     3145.103   1.317827E-6
     3145.497   1.318049E-6
     3145.891   1.318271E-6
     3146.284   1.318494E-6
     3146.678   1.318717E-6
     3147.072   1.318940E-6
     3147.466   1.319163E-6
     3147.862   1.319385E-6
     3148.258   1.319609E-6
     3148.652   1.319833E-6
     3149.046   1.320057E-6
      3149.44   1.320281E-6
     3149.834   1.320505E-6
     3150.228   1.320741E-6
     3150.623   1.320986E-6
     3151.017   1.321232E-6
     3151.413   1.321479E-6
     3151.809   1.321726E-6
     3152.204   1.321972E-6
     3152.599   1.322220E-6
     3152.993   1.322467E-6
     3153.388   1.322715E-6
     3153.782   1.322962E-6
     3154.177   1.323210E-6
     3154.572   1.323458E-6
     3154.969   1.323707E-6
     3155.365   1.323956E-6
      3155.76   1.324204E-6
     3156.156   1.324450E-6
     3156.551   1.324695E-6
     3156.946   1.324939E-6
     3157.341   1.325187E-6
     3157.736   1.325435E-6
     3158.131   1.325684E-6
     3158.528   1.325933E-6
     3158.926   1.326182E-6
     3159.321   1.326430E-6
     3159.716   1.326679E-6
     3160.112   1.326919E-6
     3160.507   1.327141E-6
     3160.903   1.327362E-6
     3161.299   1.327586E-6
     3161.694   1.327811E-6
     3162.092   1.328037E-6
      3162.49   1.328263E-6
     3162.885   1.328488E-6
     3163.281   1.328711E-6
     3163.677   1.328935E-6
     3164.073   1.329158E-6
     3164.469   1.329384E-6
     3164.865   1.329609E-6
     3165.263   1.329834E-6
     3165.659   1.330057E-6
     3166.058   1.330282E-6
     3166.454   1.330507E-6
      3166.85   1.330733E-6
     3167.247   1.330957E-6
     3167.643   1.331181E-6
      3168.04   1.331404E-6
     3168.436   1.331628E-6
     3168.833   1.331852E-6
     3169.231   1.332079E-6
      3169.63   1.332307E-6
     3170.026   1.332535E-6
     3170.423   1.332770E-6
      3170.82   1.333005E-6
     3171.217   1.333240E-6
     3171.614   1.333476E-6
     3172.011   1.333711E-6
     3172.408   1.333948E-6
     3172.807   1.334186E-6
     3173.206   1.334423E-6
     3173.603   1.334658E-6
        3174.   1.334894E-6
     3174.397   1.335129E-6
     3174.795   1.335365E-6
     3175.192   1.335601E-6
      3175.59   1.335838E-6
     3175.987   1.336076E-6
     3176.386   1.336314E-6
     3176.786   1.336553E-6
     3177.183   1.336789E-6
     3177.581   1.337023E-6
     3177.979   1.337257E-6
     3178.377   1.337496E-6
     3178.775   1.337736E-6
     3179.172   1.337973E-6
     3179.571   1.338207E-6
      3179.97   1.338443E-6
      3180.37   1.338615E-6
     3180.768   1.338781E-6
     3181.166   1.338947E-6
     3181.564   1.339109E-6
     3181.963   1.339272E-6
     3182.361   1.339436E-6
     3182.759   1.339599E-6
     3183.158   1.339763E-6
     3183.558   1.339928E-6
     3183.958   1.340094E-6
     3184.357   1.340257E-6
     3184.755   1.340420E-6
     3185.154   1.340583E-6
     3185.553   1.340746E-6
     3185.951   1.340909E-6
      3186.35   1.341074E-6
     3186.749   1.341239E-6
      3187.15   1.341403E-6
     3187.551   1.341563E-6
     3187.949   1.341723E-6
     3188.349   1.341889E-6
     3188.748   1.342056E-6
     3189.147   1.342222E-6
     3189.546   1.342387E-6
     3189.945   1.342552E-6
     3190.344   1.342818E-6
     3190.746   1.343102E-6
     3191.147   1.343387E-6
     3191.546   1.343672E-6
     3191.946   1.343958E-6
     3192.345   1.344241E-6
     3192.745   1.344524E-6
     3193.145   1.344808E-6
     3193.544   1.345094E-6
     3193.944   1.345380E-6
     3194.345   1.345669E-6
     3194.747   1.345959E-6
     3195.147   1.346244E-6
     3195.547   1.346526E-6
     3195.947   1.346807E-6
     3196.347   1.347095E-6
     3196.747   1.347383E-6
     3197.147   1.347670E-6
     3197.548   1.347955E-6
     3197.949   1.348242E-6
      3198.35   1.348527E-6
     3198.752   1.348814E-6
     3199.152   1.349100E-6
     3199.553   1.349387E-6
     3199.953   1.349674E-6
     3200.354   1.349896E-6
     3200.754   1.350110E-6
     3201.155   1.350326E-6
     3201.558   1.350547E-6
      3201.96   1.350768E-6
     3202.361   1.350988E-6
     3202.762   1.351208E-6
     3203.163   1.351427E-6
     3203.564   1.351645E-6
     3203.965   1.351861E-6
     3204.366   1.352080E-6
     3204.767   1.352299E-6
      3205.17   1.352518E-6
     3205.571   1.352737E-6
     3205.974   1.352957E-6
     3206.375   1.353175E-6
     3206.777   1.353394E-6
     3207.178   1.353612E-6
      3207.58   1.353830E-6
     3207.981   1.354047E-6
     3208.383   1.354264E-6
     3208.786   1.354482E-6
     3209.189   1.354702E-6
     3209.591   1.354923E-6
     3209.993   1.355143E-6
     3210.395   1.355366E-6
     3210.796   1.355588E-6
     3211.198   1.355810E-6
       3211.6   1.356031E-6
     3212.002   1.356252E-6
     3212.406   1.356475E-6
     3212.808   1.356698E-6
     3213.212   1.356920E-6
     3213.615   1.357141E-6
     3214.017   1.357362E-6
     3214.419   1.357585E-6
     3214.821   1.357808E-6
     3215.224   1.358028E-6
     3215.626   1.358248E-6
     3216.031   1.358469E-6
     3216.435   1.358696E-6
     3216.837   1.358922E-6
      3217.24   1.359147E-6
     3217.643   1.359369E-6
     3218.046   1.359592E-6
     3218.448   1.359813E-6
     3218.851   1.360035E-6
     3219.254   1.360257E-6
     3219.659   1.360481E-6
     3220.062   1.360702E-6
     3220.467   1.360917E-6
      3220.87   1.361130E-6
     3221.273   1.361347E-6
     3221.676   1.361566E-6
      3222.08   1.361784E-6
     3222.483   1.361999E-6
     3222.886   1.362215E-6
     3223.292   1.362433E-6
     3223.697   1.362653E-6
       3224.1   1.362871E-6
     3224.504   1.363087E-6
     3224.907   1.363302E-6
     3225.311   1.363517E-6
     3225.715   1.363733E-6
     3226.119   1.363949E-6
     3226.522   1.364166E-6
     3226.928   1.364384E-6
     3227.332   1.364602E-6
     3227.738   1.364820E-6
     3228.142   1.365037E-6
     3228.546   1.365252E-6
      3228.95   1.365468E-6
     3229.354   1.365685E-6
     3229.759   1.365903E-6
     3230.163   1.366134E-6
     3230.569   1.366387E-6
     3230.975   1.366641E-6
      3231.38   1.366898E-6
     3231.784   1.367155E-6
     3232.188   1.367411E-6
     3232.593   1.367665E-6
     3232.998   1.367919E-6
     3233.403   1.368176E-6
     3233.807   1.368432E-6
     3234.214   1.368688E-6
     3234.619   1.368942E-6
     3235.025   1.369198E-6
      3235.43   1.369454E-6
     3235.835   1.369710E-6
      3236.24   1.369965E-6
     3236.645   1.370220E-6
     3237.051   1.370474E-6
     3237.456   1.370729E-6
     3237.861   1.370984E-6
      3238.27   1.371242E-6
     3238.675   1.371498E-6
     3239.081   1.371754E-6
     3239.486   1.372009E-6
     3239.892   1.372264E-6
     3240.297   1.372494E-6
     3240.703   1.372715E-6
     3241.108   1.372935E-6
     3241.514   1.373154E-6
     3241.922   1.373374E-6
     3242.329   1.373595E-6
     3242.735   1.373816E-6
     3243.141   1.374037E-6
     3243.547   1.374258E-6
     3243.953   1.374479E-6
     3244.359   1.374698E-6
     3244.765   1.374917E-6
     3245.173   1.375138E-6
     3245.581   1.375358E-6
     3245.987   1.375577E-6
     3246.394   1.375798E-6
       3246.8   1.376019E-6
     3247.206   1.376240E-6
     3247.613   1.376461E-6
     3248.019   1.376682E-6
     3248.426   1.376900E-6
     3248.834   1.377119E-6
     3249.241   1.377338E-6
      3249.65   1.377561E-6
     3250.056   1.377788E-6
     3250.463   1.378051E-6
      3250.87   1.378315E-6
     3251.277   1.378583E-6
     3251.684   1.378854E-6
     3252.091   1.379122E-6
       3252.5   1.379385E-6
     3252.909   1.379648E-6
     3253.316   1.379916E-6
     3253.723   1.380185E-6
      3254.13   1.380453E-6
     3254.538   1.380718E-6
     3254.945   1.380984E-6
     3255.353   1.381251E-6
      3255.76   1.381519E-6
     3256.169   1.381786E-6
     3256.577   1.382050E-6
     3256.985   1.382315E-6
     3257.394   1.382585E-6
     3257.802   1.382855E-6
      3258.21   1.383122E-6
     3258.617   1.383388E-6
     3259.025   1.383655E-6
     3259.433   1.383917E-6
     3259.841   1.384180E-6
     3260.253   1.384421E-6
     3260.661   1.384644E-6
     3261.069   1.384866E-6
     3261.478   1.385087E-6
     3261.886   1.385306E-6
     3262.294   1.385527E-6
     3262.702   1.385749E-6
     3263.111   1.385970E-6
     3263.519   1.386190E-6
     3263.929   1.386411E-6
     3264.338   1.386632E-6
     3264.749   1.386855E-6
     3265.157   1.387075E-6
     3265.566   1.387294E-6
     3265.975   1.387512E-6
     3266.384   1.387734E-6
     3266.792   1.387956E-6
     3267.201   1.388177E-6
     3267.612   1.388398E-6
     3268.023   1.388619E-6
     3268.432   1.388838E-6
     3268.841   1.389056E-6
      3269.25   1.389278E-6
     3269.659   1.389501E-6
     3270.069   1.389725E-6
     3270.478   1.389950E-6
     3270.887   1.390174E-6
     3271.299   1.390403E-6
     3271.708   1.390631E-6
      3272.12   1.390860E-6
     3272.529   1.391086E-6
     3272.939   1.391312E-6
     3273.348   1.391537E-6
     3273.758   1.391762E-6
     3274.168   1.391988E-6
     3274.578   1.392216E-6
      3274.99   1.392446E-6
     3275.401   1.392673E-6
     3275.811   1.392900E-6
     3276.221   1.393126E-6
     3276.631   1.393353E-6
     3277.042   1.393580E-6
     3277.452   1.393811E-6
     3277.862   1.394041E-6
     3278.272   1.394266E-6
     3278.685   1.394491E-6
     3279.095   1.394715E-6
     3279.507   1.394943E-6
     3279.918   1.395169E-6
     3280.328   1.395404E-6
     3280.739   1.395642E-6
     3281.149   1.395877E-6
      3281.56   1.396111E-6
     3281.973   1.396346E-6
     3282.384   1.396578E-6
     3282.796   1.396811E-6
     3283.207   1.397045E-6
     3283.618   1.397280E-6
     3284.029   1.397516E-6
      3284.44   1.397748E-6
     3284.851   1.397980E-6
     3285.263   1.398213E-6
     3285.676   1.398448E-6
     3286.087   1.398683E-6
     3286.498   1.398921E-6
     3286.911   1.399159E-6
     3287.323   1.399393E-6
     3287.734   1.399625E-6
     3288.146   1.399858E-6
     3288.558   1.400090E-6
     3288.969   1.400322E-6
     3289.383   1.400559E-6
     3289.794   1.400795E-6
     3290.208   1.401030E-6
      3290.62   1.401262E-6
     3291.032   1.401494E-6
     3291.444   1.401724E-6
     3291.856   1.401954E-6
     3292.268   1.402188E-6
      3292.68   1.402423E-6
     3293.094   1.402658E-6
     3293.506   1.402889E-6
     3293.918   1.403119E-6
     3294.333   1.403352E-6
     3294.745   1.403584E-6
     3295.157   1.403816E-6
      3295.57   1.404046E-6
     3295.982   1.404277E-6
     3296.395   1.404511E-6
     3296.809   1.404746E-6
     3297.222   1.404979E-6
     3297.636   1.405212E-6
     3298.049   1.405445E-6
     3298.462   1.405675E-6
     3298.875   1.405906E-6
     3299.288   1.406139E-6
     3299.701   1.406373E-6
     3300.114   1.406617E-6
     3300.529   1.406888E-6
     3300.942   1.407157E-6
     3301.355   1.407426E-6
      3301.77   1.407696E-6
     3302.184   1.407964E-6
     3302.597   1.408232E-6
      3303.01   1.408499E-6
     3303.424   1.408769E-6
     3303.837   1.409038E-6
     3304.253   1.409310E-6
     3304.666   1.409581E-6
     3305.082   1.409853E-6
     3305.495   1.410119E-6
     3305.909   1.410385E-6
     3306.323   1.410655E-6
     3306.737   1.410927E-6
     3307.151   1.411197E-6
     3307.565   1.411465E-6
     3307.981   1.411734E-6
     3308.395   1.412005E-6
     3308.809   1.412277E-6
     3309.225   1.412548E-6
     3309.639   1.412816E-6
     3310.053   1.413081E-6
     3310.468   1.413323E-6
     3310.882   1.413565E-6
     3311.297   1.413804E-6
     3311.713   1.414043E-6
     3312.127   1.414281E-6
     3312.544   1.414519E-6
     3312.958   1.414755E-6
     3313.373   1.414998E-6
     3313.788   1.415242E-6
     3314.203   1.415482E-6
     3314.617   1.415719E-6
     3315.032   1.415956E-6
     3315.449   1.416199E-6
     3315.864   1.416441E-6
     3316.279   1.416680E-6
     3316.696   1.416918E-6
     3317.111   1.417156E-6
     3317.527   1.417400E-6
     3317.942   1.417644E-6
     3318.357   1.417884E-6
     3318.773   1.418122E-6
     3319.188   1.418362E-6
     3319.605   1.418604E-6
     3320.023   1.418846E-6
     3320.438   1.419097E-6
     3320.854   1.419348E-6
      3321.27   1.419599E-6
     3321.685   1.419848E-6
     3322.101   1.420098E-6
     3322.517   1.420350E-6
     3322.933   1.420601E-6
     3323.351   1.420851E-6
     3323.767   1.421099E-6
     3324.185   1.421351E-6
     3324.601   1.421606E-6
     3325.017   1.421861E-6
     3325.433   1.422109E-6
     3325.849   1.422357E-6
     3326.266   1.422608E-6
     3326.682   1.422859E-6
       3327.1   1.423111E-6
     3327.519   1.423361E-6
     3327.935   1.423609E-6
     3328.352   1.423864E-6
     3328.768   1.424119E-6
     3329.185   1.424371E-6
     3329.602   1.424620E-6
     3330.018   1.424868E-6
     3330.435   1.425123E-6
     3330.854   1.425379E-6
     3331.271   1.425631E-6
      3331.69   1.425883E-6
     3332.107   1.426135E-6
     3332.524   1.426388E-6
     3332.941   1.426641E-6
     3333.358   1.426894E-6
     3333.775   1.427147E-6
     3334.193   1.427399E-6
     3334.612   1.427651E-6
     3335.031   1.427904E-6
     3335.449   1.428155E-6
     3335.866   1.428407E-6
     3336.284   1.428660E-6
     3336.701   1.428916E-6
     3337.119   1.429170E-6
     3337.537   1.429421E-6
     3337.955   1.429673E-6
     3338.374   1.429926E-6
     3338.792   1.430177E-6
     3339.212   1.430430E-6
      3339.63   1.430682E-6
     3340.048   1.430933E-6
     3340.466   1.431173E-6
     3340.884   1.431414E-6
     3341.302   1.431652E-6
      3341.72   1.431889E-6
     3342.141   1.432129E-6
     3342.561   1.432369E-6
     3342.979   1.432608E-6
     3343.398   1.432845E-6
     3343.816   1.433083E-6
     3344.235   1.433321E-6
     3344.653   1.433560E-6
     3345.072   1.433799E-6
     3345.491   1.434037E-6
     3345.911   1.434276E-6
      3346.33   1.434516E-6
     3346.751   1.434758E-6
      3347.17   1.434997E-6
     3347.589   1.435233E-6
     3348.008   1.435469E-6
     3348.427   1.435709E-6
     3348.846   1.435948E-6
     3349.265   1.436188E-6
     3349.686   1.436428E-6
     3350.107   1.436677E-6
     3350.527   1.436952E-6
     3350.946   1.437227E-6
     3351.366   1.437499E-6
     3351.785   1.437770E-6
     3352.205   1.438043E-6
     3352.625   1.438318E-6
     3353.044   1.438593E-6
     3353.466   1.438870E-6
     3353.885   1.439145E-6
     3354.305   1.439420E-6
     3354.727   1.439696E-6
     3355.147   1.439971E-6
     3355.567   1.440244E-6
     3355.987   1.440517E-6
     3356.407   1.440793E-6
     3356.827   1.441068E-6
     3357.247   1.441343E-6
     3357.671   1.441619E-6
     3358.092   1.441893E-6
     3358.512   1.442168E-6
     3358.932   1.442444E-6
     3359.353   1.442718E-6
     3359.773   1.442992E-6
     3360.194   1.443256E-6
     3360.615   1.443507E-6
     3361.035   1.443759E-6
     3361.458   1.444012E-6
     3361.878   1.444264E-6
     3362.301   1.444518E-6
     3362.722   1.444772E-6
     3363.143   1.445026E-6
     3363.564   1.445281E-6
     3363.985   1.445537E-6
     3364.406   1.445789E-6
     3364.827   1.446041E-6
      3365.25   1.446296E-6
     3365.673   1.446550E-6
     3366.094   1.446804E-6
     3366.516   1.447054E-6
     3366.937   1.447305E-6
