WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.985469E-19
PIVWV    r 5579.85
BANDW    r 165.2026
TPEAK    r 0.246869
EQUVW    r 131.4178
RECTW    r 532.3381
EMFLX    r 3.231981E-16
     2673.306   1.020280E-6
     2673.689   1.019741E-6
     2674.074   1.019200E-6
     2674.457   1.018663E-6
      2674.84   1.018126E-6
     2675.225   1.017586E-6
     2675.608   1.017047E-6
     2675.992   1.016508E-6
     2676.376   1.015967E-6
     2676.761   1.015427E-6
     2677.145   1.014889E-6
     2677.529   1.014351E-6
     2677.914   1.013812E-6
     2678.298   1.013274E-6
     2678.681   1.012735E-6
     2679.067   1.012194E-6
     2679.451   1.011654E-6
     2679.836   1.011113E-6
     2680.221   1.010567E-6
     2680.605   1.010021E-6
      2680.99   1.009474E-6
     2681.375   1.008924E-6
      2681.76   1.008377E-6
     2682.144   1.007829E-6
      2682.53   1.007279E-6
     2682.914   1.006732E-6
       2683.3   1.006183E-6
     2683.686   1.005633E-6
      2684.07   1.005085E-6
     2684.455   1.004539E-6
     2684.841   1.003991E-6
     2685.226   1.003445E-6
     2685.611   1.002899E-6
     2685.997   1.002351E-6
     2686.382   1.001803E-6
     2686.768   1.001252E-6
     2687.155   1.000702E-6
      2687.54   1.000156E-6
     2687.925   9.996106E-7
     2688.312   9.990616E-7
     2688.697   9.985146E-7
     2689.082   9.979677E-7
     2689.469   9.974201E-7
     2689.854   9.968743E-7
      2690.24   9.963242E-7
     2690.627   9.957691E-7
     2691.014   9.952144E-7
     2691.399   9.946630E-7
     2691.786   9.941094E-7
     2692.172   9.935568E-7
     2692.558   9.930030E-7
     2692.944   9.924488E-7
     2693.331   9.918954E-7
     2693.719   9.913422E-7
     2694.104   9.907909E-7
     2694.492   9.902378E-7
     2694.878   9.896866E-7
     2695.264   9.891344E-7
     2695.652   9.885800E-7
     2696.038   9.880278E-7
     2696.425   9.874756E-7
     2696.812   9.869212E-7
     2697.199   9.863697E-7
     2697.587   9.858168E-7
     2697.975   9.852640E-7
     2698.362   9.847143E-7
     2698.748   9.841651E-7
     2699.136   9.836125E-7
     2699.523   9.830588E-7
      2699.91   9.825061E-7
     2700.298   9.820753E-7
     2700.687   9.816827E-7
     2701.074   9.812917E-7
     2701.462   9.809000E-7
     2701.849   9.805100E-7
     2702.237   9.801199E-7
     2702.625   9.797282E-7
     2703.012   9.793379E-7
       2703.4   9.789474E-7
     2703.789   9.785556E-7
     2704.176   9.781643E-7
     2704.565   9.777709E-7
     2704.954   9.773777E-7
     2705.342   9.769856E-7
     2705.729   9.765936E-7
