WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,ccd,f28x50lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.637050E-19
PIVWV    r 7218.918
BANDW    r 1140.357
TPEAK    r 0.1240126
EQUVW    r 366.392
RECTW    r 2954.473
EMFLX    r 6.195580E-16
     5222.556   1.698381E-4
     5222.969   1.705744E-4
     5223.379   1.713065E-4
     5223.792   1.720440E-4
     5224.205   1.728030E-4
     5224.618   1.735610E-4
     5225.028   1.743146E-4
     5225.441   1.750737E-4
     5225.852   1.758282E-4
     5226.262   1.765819E-4
     5226.675   1.773486E-4
     5227.085   1.781242E-4
     5227.499   1.789063E-4
     5227.909   1.796819E-4
     5228.325   1.804687E-4
     5228.735   1.812454E-4
     5229.146   1.820221E-4
     5229.559   1.828178E-4
      5229.97   1.836156E-4
     5230.383   1.844191E-4
     5230.794   1.852170E-4
     5231.208   1.860205E-4
     5231.621   1.868242E-4
     5232.035   1.876278E-4
     5232.445   1.884258E-4
     5232.856   1.892238E-4
      5233.27   1.900284E-4
     5233.681   1.908265E-4
     5234.094   1.916303E-4
     5234.505   1.924294E-4
     5234.919   1.932411E-4
      5235.33   1.940620E-4
     5235.747   1.948947E-4
     5236.158   1.957147E-4
     5236.569   1.965358E-4
     5236.983   1.973626E-4
     5237.394   1.981838E-4
     5237.808   1.990258E-4
     5238.219   1.998682E-4
     5238.633   2.007165E-4
     5239.048   2.015660E-4
     5239.462   2.024145E-4
     5239.873   2.032570E-4
     5240.285   2.041630E-4
     5240.699   2.061200E-4
      5241.11   2.080656E-4
     5241.524   2.100228E-4
     5241.936   2.119688E-4
     5242.351   2.139286E-4
     5242.762   2.158748E-4
     5243.179   2.173445E-4
     5243.591   2.180851E-4
     5244.002   2.188258E-4
     5244.417   2.195727E-4
     5244.829   2.203135E-4
     5245.244   2.210596E-4
     5245.655   2.218005E-4
      5246.07   2.236766E-4
     5246.485   2.258976E-4
     5246.899   2.281188E-4
     5247.312   2.303271E-4
     5247.727   2.325513E-4
     5248.138   2.347573E-4
      5248.55   2.369070E-4
     5248.965   2.386538E-4
     5249.377   2.403884E-4
     5249.792   2.421355E-4
     5250.205   2.438681E-4
     5250.623   2.456233E-4
     5251.035   2.473539E-4
     5251.447   2.491482E-4
     5251.862   2.510223E-4
     5252.274   2.528854E-4
     5252.689   2.547596E-4
     5253.102   2.566229E-4
     5253.517   2.584972E-4
     5253.933   2.603739E-4
     5254.348   2.622877E-4
      5254.76   2.641920E-4
     5255.176   2.661121E-4
     5255.588   2.680186E-4
     5256.001   2.699253E-4
     5256.417   2.718456E-4
     5256.829   2.738209E-4
     5257.245   2.760463E-4
     5257.658   2.782588E-4
     5258.073   2.804845E-4
     5258.489   2.827102E-4
     5258.905   2.849387E-4
     5259.317   2.871489E-4
      5259.73   2.897403E-4
     5260.146   2.925967E-4
     5260.559   2.954364E-4
     5260.975   2.982963E-4
     5261.391   3.011564E-4
     5261.807   3.040132E-4
      5262.22   3.068534E-4
     5262.636   3.108482E-4
     5263.049   3.148400E-4
     5263.462   3.188272E-4
     5263.878   3.228429E-4
     5264.292   3.268304E-4
     5264.708   3.308511E-4
     5265.121   3.346769E-4
     5265.538   3.382416E-4
     5265.954   3.418024E-4
     5266.367   3.453423E-4
     5266.783   3.489034E-4
     5267.197   3.524437E-4
     5267.613   3.560091E-4
     5268.027   3.598398E-4
     5268.443   3.637963E-4
