WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f547m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 7.691164E-18
PIVWV    r 5483.873
BANDW    r 205.5184
TPEAK    r 0.01630851
EQUVW    r 10.40373
RECTW    r 637.9322
EMFLX    r 4.990218E-15
      2012.42   1.071651E-8
     2012.778   1.172625E-8
     2013.137   1.274090E-8
     2013.496   1.375768E-8
     2013.855   1.477626E-8
     2014.215   1.579700E-8
     2014.573   1.681640E-8
     2014.932   1.784109E-8
     2015.292   1.886758E-8
     2015.652   1.989622E-8
      2016.01   2.092353E-8
      2016.37   2.195614E-8
      2016.73   2.299056E-8
     2017.089   2.402716E-8
     2017.449   2.506591E-8
     2017.808   2.610332E-8
     2018.168   2.714571E-8
     2018.528   2.819027E-8
     2018.888   2.923382E-8
     2019.248   3.028238E-8
     2019.608   3.133277E-8
     2019.968   3.238535E-8
     2020.329   3.147300E-8
     2020.689   3.036971E-8
     2021.049   2.926743E-8
     2021.409   2.815979E-8
      2021.77   2.704978E-8
      2022.13   2.594115E-8
     2022.491   2.482677E-8
     2022.851   2.371039E-8
     2023.212   2.259163E-8
     2023.573   2.147086E-8
     2023.933   2.035113E-8
     2024.295   1.922559E-8
     2024.656   1.809804E-8
     2025.017   1.696849E-8
     2025.377   1.583998E-8
     2025.739   1.470563E-8
     2026.099   1.357272E-8
      2026.46   1.243435E-8
     2026.823   1.129009E-8
     2027.184   1.015037E-8
     2027.545   9.005157E-9
     2027.907   7.857526E-9
     2028.268   6.711360E-9
      2028.63   5.559291E-9
     2028.992   4.405188E-9
     2029.353   3.252173E-9
     2029.716   2.090099E-9
     2030.078   1.396150E-9
     2030.439   2.397890E-9
     2030.802   3.404432E-9
     2031.164   4.412731E-9
     2031.525   5.420065E-9
     2031.888   6.432561E-9
      2032.25   7.446821E-9
     2032.612   8.459764E-9
     2032.974   9.477891E-9
     2033.337   1.049813E-8
       2033.7   1.152013E-8
     2034.063   1.254426E-8
     2034.425   1.356704E-8
     2034.788   1.459505E-8
     2035.151   1.562483E-8
     2035.513   1.665362E-8
     2035.876   1.768730E-8
      2036.24   1.872625E-8
     2036.603   1.976070E-8
     2036.966   2.080042E-8
      2037.33   2.184228E-8
     2037.692   2.288277E-8
     2038.056   2.392820E-8
     2038.419   2.497577E-8
     2038.782   2.602231E-8
     2039.146   2.707381E-8
      2039.51   2.812746E-8
     2039.873   2.918289E-8
     2040.237   2.979932E-8
     2040.601   3.018133E-8
     2040.964   3.056294E-8
     2041.329   3.094633E-8
     2041.693   3.133047E-8
     2042.056   3.171408E-8
      2042.42   3.209960E-8
     2042.785   3.248574E-8
     2043.149   3.287266E-8
     2043.514   3.326032E-8
     2043.877   3.364743E-8
     2044.242   3.403635E-8
     2044.607   3.442616E-8
     2044.971   3.481529E-8
     2045.335   3.520635E-8
       2045.7   3.559818E-8
     2046.064   3.598946E-8
     2046.431   3.638386E-8
     2046.796   3.677772E-8
      2047.16   3.717114E-8
     2047.525   3.756640E-8
      2047.89   3.796242E-8
     2048.255   3.835788E-8
      2048.62   3.875530E-8
     2048.986   3.915362E-8
     2049.351   3.955231E-8
     2049.717   3.995191E-8
     2050.083   4.012423E-8
     2050.448   3.951860E-8
     2050.813   3.891027E-8
     2051.179   3.830046E-8
     2051.544   3.769120E-8
      2051.91   3.707923E-8
     2052.276   3.646578E-8
     2052.641   3.585329E-8
     2053.009   3.523562E-8
     2053.374   3.462057E-8
      2053.74   3.400237E-8
     2054.107   3.338310E-8
     2054.472   3.276480E-8
     2054.839   3.214295E-8
     2055.206   3.152000E-8
     2055.571   3.089804E-8
     2055.939   3.027083E-8
     2056.306   2.964420E-8
     2056.672   2.901857E-8
     2057.039   2.838975E-8
     2057.406   2.775985E-8
     2057.771   2.713053E-8
     2058.139   2.649803E-8
     2058.506   2.586400E-8
     2058.872   2.523098E-8
      2059.24   2.459518E-8
     2059.608   2.395574E-8
     2059.975   2.331901E-8
     2060.342   2.298786E-8
     2060.708   2.267986E-8
     2061.076   2.237029E-8
     2061.444   2.205998E-8
     2061.812   2.174934E-8
     2062.179   2.143878E-8
     2062.548   2.112582E-8
     2062.915   2.081439E-8
     2063.283   2.050118E-8
     2063.651   2.018742E-8
     2064.018   1.987396E-8
     2064.386   1.955912E-8
     2064.755   1.924354E-8
     2065.122   1.892846E-8
      2065.49   1.861157E-8
     2065.859   1.829435E-8
     2066.228   1.797638E-8
     2066.596   1.765787E-8
     2066.965   1.733860E-8
     2067.333   1.701984E-8
     2067.702   1.669948E-8
     2068.071   1.637856E-8
     2068.438   1.605795E-8
     2068.808   1.573574E-8
     2069.177   1.541297E-8
     2069.546   1.508966E-8
     2069.915   1.476580E-8
     2070.284   1.437931E-8
     2070.653   1.397476E-8
     2071.022   1.356845E-8
     2071.392   1.316121E-8
      2071.76   1.275464E-8
      2072.13   1.234605E-8
       2072.5   1.193651E-8
     2072.869   1.152657E-8
     2073.239   1.111567E-8
     2073.608   1.070519E-8
     2073.978   1.029295E-8
     2074.348   9.879749E-9
     2074.717   9.466965E-9
     2075.087   9.052410E-9
     2075.458   8.636902E-9
     2075.828   8.220986E-9
     2076.198   7.803838E-9
     2076.569   7.386284E-9
     2076.938   6.969152E-9
     2077.309   6.549957E-9
     2077.679   6.130079E-9
     2078.049   5.710624E-9
      2078.42   5.289102E-9
     2078.791   4.866893E-9
     2079.161   4.445110E-9
     2079.531   4.021531E-9
     2079.904   3.595586E-9
     2080.274   3.581684E-9
     2080.645   3.712381E-9
     2081.015   3.842935E-9
     2081.386   3.974124E-9
     2081.758   4.105602E-9
     2082.128   4.236764E-9
     2082.501   4.369083E-9
     2082.872   4.501173E-9
     2083.243   4.633119E-9
     2083.615   4.765616E-9
     2083.986   4.898405E-9
     2084.357   5.030962E-9
     2084.729   5.164248E-9
     2085.101   5.297650E-9
     2085.472   5.430994E-9
     2085.844   5.564895E-9
     2086.216   5.699002E-9
     2086.588   5.833401E-9
     2086.961   5.968006E-9
     2087.333   6.102819E-9
     2087.704   6.237482E-9
     2088.077   6.372793E-9
     2088.449   6.508312E-9
     2088.821   6.643683E-9
     2089.194   6.779702E-9
     2089.566   6.915841E-9
     2089.939   7.052365E-9
     2090.312   7.137577E-9
     2090.684   7.212734E-9
     2091.057   7.288249E-9
      2091.43   7.363873E-9
     2091.802   7.439405E-9
     2092.176   7.515296E-9
     2092.549   7.591296E-9
     2092.922   7.667457E-9
     2093.296   7.743674E-9
     2093.669   7.820053E-9
     2094.042   7.896343E-9
     2094.415   7.972940E-9
     2094.789   8.049697E-9
     2095.162   8.126314E-9
     2095.535   8.203291E-9
     2095.909   8.280429E-9
     2096.283   8.357676E-9
     2096.657   8.435035E-9
     2097.031   8.512506E-9
     2097.405   8.589879E-9
     2097.779   8.667620E-9
     2098.153   8.745471E-9
     2098.526   8.823228E-9
     2098.901   8.901355E-9
     2099.275   8.979588E-9
     2099.649   9.057680E-9
     2100.025   9.110647E-9
     2100.398   8.797989E-9
     2100.773   8.483834E-9
     2101.148   8.169207E-9
     2101.521   7.854925E-9
     2101.896   7.539144E-9
     2102.271   7.222886E-9
     2102.647   6.905946E-9
     2103.022   6.588530E-9
     2103.397   6.270638E-9
     2103.771   5.953304E-9
     2104.147   5.634252E-9
     2104.522   5.314721E-9
     2104.896   4.995753E-9
     2105.272   4.675266E-9
     2105.648   4.354094E-9
     2106.022   4.033486E-9
     2106.398   3.711145E-9
     2106.775   3.387485E-9
      2107.15   3.065232E-9
     2107.526   2.741449E-9
     2107.902   2.417185E-9
     2108.277   2.093284E-9
     2108.653   1.767847E-9
     2109.029   1.441927E-9
     2109.405   1.116372E-9
     2109.782  7.884265E-10
     2110.157  6.049244E-10
     2110.534  6.196678E-10
      2110.91  6.344223E-10
     2111.286  6.491590E-10
     2111.663  6.639643E-10
      2112.04  6.787997E-10
     2112.415  6.935980E-10
     2112.792  7.084748E-10
     2113.169  7.233723E-10
     2113.546  7.383001E-10
     2113.923  7.532486E-10
     2114.301  7.682178E-10
     2114.677  7.831593E-10
     2115.054  7.981800E-10
     2115.431  8.132211E-10
     2115.808  8.282344E-10
     2116.185  8.433173E-10
     2116.563  8.584308E-10
      2116.94  8.735651E-10
     2117.318  8.887203E-10
     2117.695  9.038571E-10
     2118.073  9.190541E-10
     2118.451  9.342914E-10
     2118.829  9.495400E-10
     2119.206  9.647702E-10
     2119.583  9.800606E-10
     2119.962  9.953917E-10
      2120.34  9.861816E-10
     2120.719  9.741986E-10
     2121.096  9.622371E-10
     2121.474  9.502201E-10
     2121.853  9.381781E-10
      2122.23  9.261580E-10
     2122.609  9.140815E-10
     2122.988  9.019880E-10
     2123.366  8.898697E-10
     2123.745  8.777340E-10
     2124.124  8.655812E-10
     2124.502  8.534502E-10
     2124.881  8.412551E-10
      2125.26  8.290429E-10
     2125.638  8.168446E-10
     2126.018  8.045976E-10
     2126.397  7.923254E-10
     2126.775  7.800757E-10
     2127.156  7.677216E-10
     2127.535  7.553973E-10
     2127.914  7.430877E-10
     2128.294  7.307131E-10
     2128.673  7.183291E-10
     2129.052  7.059594E-10
     2129.432  6.935326E-10
     2129.812  6.810884E-10
     2130.192  7.080077E-10
     2130.572  7.736238E-10
     2130.951  8.391136E-10
     2131.331  9.049418E-10
     2131.711  9.708129E-10
     2132.091   1.036642E-9
     2132.471   1.102725E-9
     2132.852   1.168937E-9
     2133.231   1.235021E-9
     2133.612   1.301403E-9
     2133.994   1.368084E-9
     2134.373   1.434467E-9
     2134.754   1.501148E-9
     2135.135   1.567915E-9
     2135.515   1.634597E-9
     2135.896   1.701535E-9
     2136.277   1.768603E-9
     2136.657   1.835584E-9
     2137.039   1.903039E-9
     2137.419   1.970192E-9
     2137.801   2.037690E-9
     2138.182   2.105291E-9
     2138.564   2.173093E-9
     2138.944   2.240772E-9
     2139.326   2.308762E-9
     2139.708   2.376891E-9
     2140.088   2.584193E-9
      2140.47   3.254835E-9
     2140.852   3.926376E-9
     2141.234   4.599251E-9
     2141.616   5.273029E-9
     2141.997   5.945552E-9
     2142.379   6.621568E-9
     2142.762   7.298488E-9
     2143.143   7.974149E-9
     2143.525   8.652878E-9
     2143.909   9.335124E-9
      2144.29   1.001393E-8
     2144.673   1.069582E-8
     2145.055   1.137862E-8
     2145.437   1.206059E-8
      2145.82   1.274565E-8
     2146.203   1.343205E-8
     2146.585   1.411718E-8
     2146.968   1.480498E-8
     2147.351   1.549456E-8
     2147.734   1.618463E-8
     2148.117   1.687605E-8
     2148.499   1.756618E-8
     2148.883   1.825943E-8
     2149.266   1.895404E-8
     2149.648   1.964736E-8
     2150.032   2.026940E-8
     2150.416   2.007375E-8
     2150.799   1.987771E-8
     2151.183   1.968141E-8
     2151.567   1.948485E-8
      2151.95   1.928853E-8
     2152.333   1.909145E-8
     2152.718   1.889397E-8
     2153.101   1.869675E-8
     2153.485   1.849864E-8
     2153.869   1.830026E-8
     2154.252   1.810225E-8
     2154.638   1.790271E-8
     2155.022   1.770342E-8
     2155.406   1.750450E-8
      2155.79   1.730468E-8
     2156.175   1.710447E-8
     2156.558   1.690464E-8
     2156.943   1.670390E-8
     2157.328   1.650278E-8
     2157.713   1.630151E-8
     2158.098   1.609985E-8
     2158.483   1.589781E-8
     2158.867   1.569626E-8
     2159.252   1.549368E-8
     2159.637   1.529084E-8
     2160.022   1.506883E-8
     2160.407   1.452054E-8
     2160.792   1.397334E-8
     2161.177   1.342374E-8
     2161.564   1.287174E-8
     2161.948   1.232222E-8
     2162.334   1.177029E-8
      2162.72   1.121735E-8
     2163.105   1.066550E-8
      2163.49   1.011159E-8
     2163.877   9.556322E-9
     2164.261   9.002494E-9
     2164.649   8.444138E-9
     2165.035   7.886872E-9
      2165.42   7.330354E-9
     2165.807   6.771761E-9
     2166.193   6.212151E-9
