WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f160w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.208483E-20
PIVWV    r 16030.47
BANDW    r 1176.615
TPEAK    r 0.2493621
EQUVW    r 851.4484
RECTW    r 3414.506
EMFLX    r 1.342418E-16
     12346.06            0.
      12346.7            0.
     12347.32            0.
     12347.96   1.365699E-6
      12348.6   3.249039E-6
     12349.23   5.135360E-6
     12349.86   6.981329E-6
     12350.49   6.856527E-6
     12351.13   6.151119E-6
     12351.76   5.460799E-6
     12352.39   4.756406E-6
     12353.02   4.066021E-6
     12353.65   3.360477E-6
     12354.29   2.654896E-6
     12354.93   1.949280E-6
     12355.57   3.550193E-6
     12356.19   5.396577E-6
     12356.83   7.283501E-6
     12357.45   9.130066E-6
     12358.09   1.101717E-5
     12358.73   1.290438E-5
     12359.35   1.475122E-5
     12359.99   1.663861E-5
     12360.63   1.341151E-5
     12361.27   1.010471E-5
     12361.89   6.863587E-6
     12362.53   3.556471E-6
     12363.17   2.491871E-7
     12363.79            0.
     12364.43            0.
     12365.05            0.
     12365.71            0.
     12366.33            0.
     12366.97            0.
     12367.61            0.
     12368.23            0.
     12368.87            0.
     12369.49            0.
     12370.13   4.150793E-7
     12370.77            0.
     12371.39            0.
     12372.05            0.
     12372.67            0.
     12373.31            0.
     12373.94            0.
     12374.57            0.
     12375.21            0.
     12375.84            0.
     12376.48            0.
     12377.12            0.
     12377.75            0.
     12378.38            0.
     12379.02            0.
     12379.66            0.
     12380.28            0.
     12380.92            0.
     12381.55            0.
     12382.18            0.
     12382.82            0.
     12383.46            0.
      12384.1            0.
     12384.73            0.
     12385.37            0.
     12385.99            0.
     12386.63   1.453067E-7
     12387.27   3.467984E-6
      12387.9   6.719799E-6
     12388.54   1.003773E-5
     12389.17   1.336089E-5
