WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f658n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.999179E-18
PIVWV    r 6584.016
BANDW    r 37.15238
TPEAK    r 0.4449753
EQUVW    r 33.35851
RECTW    r 74.96711
EMFLX    r 1.515987E-16
     3167.161  1.468949E-11
     3167.556  1.482877E-11
     3167.954  1.496968E-11
     3168.349  1.510979E-11
     3168.744  1.525033E-11
     3169.141  1.539198E-11
     3169.536  1.553346E-11
     3169.931  1.567535E-11
     3170.326  1.616946E-11
     3170.722  1.674288E-11
     3171.118  1.731629E-11
     3171.515  1.789428E-11
     3171.912  1.847438E-11
     3172.307  1.905406E-11
     3172.702  1.963582E-11
     3173.099  2.022255E-11
     3173.495  2.080883E-11
      3173.89  2.139718E-11
     3174.288  2.199018E-11
     3174.683  2.258307E-11
     3175.081  2.318025E-11
     3175.476  2.377727E-11
     3175.874  2.437895E-11
      3176.27  2.498012E-11
     3176.666  2.558372E-11
     3177.063  2.619201E-11
     3177.459  2.679937E-11
     3177.855  2.740916E-11
     3178.253  2.802403E-11
     3178.651  2.864059E-11
     3179.047  2.925693E-11
     3179.443  2.987533E-11
     3179.841  3.049844E-11
     3180.237  3.173817E-11
     3180.634  3.339641E-11
     3181.032  3.506880E-11
     3181.428  3.674000E-11
     3181.825  3.841711E-11
     3182.223  4.010736E-11
     3182.621  4.180457E-11
     3183.018  4.350039E-11
     3183.415  4.520111E-11
     3183.813  4.691718E-11
      3184.21  4.863071E-11
     3184.607  5.035011E-11
     3185.005  5.208388E-11
     3185.402  5.381613E-11
     3185.801  5.556171E-11
       3186.2  5.731426E-11
     3186.597  5.906406E-11
     3186.994  6.082077E-11
     3187.391  6.258229E-11
      3187.79  6.435943E-11
     3188.188  6.613372E-11
     3188.585  6.791379E-11
     3188.984  6.970850E-11
     3189.383  7.150906E-11
     3189.781  7.330776E-11
      3190.18  7.625336E-11
     3190.577  8.057100E-11
     3190.975  8.490570E-11
     3191.375  8.927357E-11
     3191.772  9.363717E-11
      3192.17  9.801521E-11
     3192.568  1.024104E-10
     3192.969  1.068578E-10
     3193.367  1.112818E-10
     3193.765  1.157201E-10
     3194.165  1.201946E-10
     3194.563  1.246616E-10
     3194.961  1.291457E-10
     3195.361  1.336632E-10
     3195.759  1.381757E-10
     3196.157  1.427026E-10
     3196.556  1.472465E-10
     3196.958  1.518438E-10
     3197.356  1.564162E-10
     3197.755  1.610029E-10
     3198.155  1.656263E-10
     3198.553  1.702413E-10
     3198.952  1.748733E-10
     3199.353  1.795395E-10
     3199.751  1.842000E-10
     3200.152  1.910719E-10
     3200.551  2.014946E-10
     3200.951  2.120194E-10
      3201.35  2.225502E-10
     3201.749  2.331381E-10
      3202.15  2.438158E-10
     3202.549  2.545050E-10
     3202.948  2.652449E-10
     3203.349  2.760813E-10
     3203.748  2.869220E-10
     3204.149  2.978665E-10
     3204.549  3.088081E-10
      3204.95  3.198539E-10
     3205.349  3.309028E-10
     3205.749  3.420084E-10
      3206.15  3.532053E-10
      3206.55  3.644116E-10
     3206.949  3.756678E-10
     3207.352  3.870710E-10
     3207.752  3.984275E-10
     3208.152  4.098410E-10
     3208.552  4.212974E-10
     3208.953  4.328669E-10
     3209.353  4.444300E-10
     3209.753  4.560426E-10
     3210.155  4.718730E-10
     3210.555  4.942245E-10
     3210.955  5.166895E-10
     3211.359  5.394610E-10
     3211.759  5.621260E-10
     3212.159  5.849043E-10
      3212.56  6.077684E-10
     3212.962  6.308442E-10
     3213.362  6.539206E-10
     3213.763  6.771103E-10
     3214.165  7.005003E-10
     3214.567  7.239782E-10
     3214.968  7.474698E-10
      3215.37  7.711671E-10
     3215.771  7.948473E-10
     3216.172  8.186430E-10
     3216.574  8.426429E-10
     3216.975  8.666397E-10
     3217.376  8.907345E-10
     3217.777  9.149276E-10
      3218.18  9.393386E-10
     3218.583  9.638512E-10
     3218.984  9.883580E-10
     3219.387   1.013060E-9
     3219.788   1.037770E-9
     3220.189   1.070999E-9
     3220.592   1.114041E-9
     3220.994   1.157076E-9
     3221.395   1.200326E-9
