WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f300w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 6.137463E-17
PIVWV    r 2992.787
BANDW    r 325.4557
TPEAK    r 0.002766136
EQUVW    r 2.374097
RECTW    r 858.2719
EMFLX    r 6.051428E-14
     2401.117   2.582038E-4
     2401.502   2.606393E-4
     2401.885   2.630721E-4
     2402.271   2.655160E-4
     2402.656   2.679634E-4
      2403.04   2.704079E-4
     2403.425   2.728635E-4
     2403.809   2.753148E-4
     2404.194   2.777773E-4
     2404.578   2.802353E-4
     2404.964   2.827062E-4
     2405.348   2.851725E-4
     2405.735   2.876596E-4
     2406.119   2.901327E-4
     2406.504   2.926109E-4
     2406.889   2.951004E-4
     2407.274   2.975853E-4
      2407.66   3.000832E-4
     2408.044   3.025750E-4
     2408.431   3.050812E-4
     2408.815   3.075814E-4
     2409.201   3.100929E-4
     2409.588   3.126095E-4
     2409.973   3.151215E-4
     2410.359   3.179177E-4
     2410.744   3.207277E-4
     2411.131   3.235521E-4
     2411.516   3.263714E-4
     2411.903   3.292053E-4
     2412.288   3.320322E-4
     2412.675   3.348736E-4
     2413.061   3.377188E-4
     2413.447   3.405589E-4
     2413.834   3.434137E-4
     2414.219   3.462631E-4
     2414.606   3.491254E-4
     2414.992   3.519825E-4
     2415.379   3.548542E-4
     2415.765   3.577207E-4
     2416.153   3.606001E-4
      2416.54   3.634834E-4
     2416.926   3.663632E-4
     2417.313   3.692559E-4
       2417.7   3.721433E-4
     2418.087   3.750436E-4
     2418.474   3.779406E-4
      2418.86   3.808394E-4
     2419.248   3.837550E-4
     2419.635   3.866725E-4
     2420.023   3.896037E-4
      2420.41   3.926507E-4
     2420.798   3.957112E-4
     2421.185   3.987661E-4
     2421.573   4.018366E-4
      2421.96   4.049013E-4
     2422.347   4.079700E-4
