WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,fuvmama,25mama
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.341392E-17
PIVWV    r 1369.428
BANDW    r 135.2006
TPEAK    r 0.04285724
EQUVW    r 13.62213
RECTW    r 317.849
EMFLX    r 9.694944E-15
     1270.317    0.04195583
     1270.592    0.04193604
     1270.867    0.04191624
     1271.142    0.04189644
     1271.416    0.04187668
     1271.691    0.04185689
     1271.967    0.04183704
     1272.242    0.04181723
     1272.517    0.04179742
     1272.792    0.04177761
     1273.068     0.0417578
     1273.343    0.04173799
     1273.619    0.04171817
     1273.894    0.04169836
      1274.17    0.04167854
     1274.445    0.04165872
     1274.721     0.0416389
     1274.997    0.04161907
     1275.272    0.04159926
     1275.548    0.04157943
     1275.824     0.0415596
       1276.1    0.04153977
     1276.376    0.04151993
     1276.652     0.0415001
     1276.929    0.04148021
     1277.205    0.04146038
     1277.482    0.04144054
     1277.757    0.04142075
     1278.034    0.04140091
      1278.31    0.04138106
     1278.587    0.04136122
     1278.863    0.04134137
      1279.14    0.04132152
     1279.417    0.04130162
     1279.694    0.04128177
     1279.971    0.04126191
     1280.248    0.04124008
     1280.525    0.04121801
     1280.802    0.04119593
     1281.079    0.04117386
     1281.356     0.0411518
     1281.633    0.04112978
     1281.911    0.04110765
     1282.188    0.04108558
     1282.465     0.0410635
     1282.743    0.04104143
      1283.02    0.04101937
     1283.298    0.04099729
     1283.575    0.04097521
     1283.853    0.04095314
     1284.131    0.04093106
     1284.408    0.04090899
     1284.686    0.04088691
     1284.964    0.04086484
     1285.242    0.04084276
      1285.52    0.04082069
     1285.798    0.04079861
     1286.076    0.04077652
     1286.355    0.04075445
     1286.633    0.04073238
     1286.912    0.04071024
      1287.19    0.04068816
     1287.469    0.04066608
     1287.747    0.04064401
     1288.026    0.04062193
     1288.304     0.0405999
     1288.582    0.04057783
     1288.861    0.04055575
      1289.14    0.04053366
     1289.419    0.04051158
     1289.698    0.04048944
     1289.977    0.04046737
     1290.256    0.04044459
     1290.536    0.04042174
     1290.815    0.04039891
     1291.094    0.04037607
     1291.373    0.04035324
     1291.653    0.04033041
     1291.932    0.04030758
     1292.212    0.04028473
     1292.491    0.04026191
     1292.771    0.04023907
      1293.05    0.04021624
      1293.33    0.04019341
      1293.61    0.04017058
      1293.89    0.04014774
      1294.17    0.04012491
     1294.449    0.04010208
     1294.729    0.04007925
      1295.01    0.04005642
      1295.29    0.04003359
      1295.57    0.04001075
      1295.85    0.03998793
      1296.13    0.03996511
     1296.411    0.03994227
     1296.691    0.03991945
     1296.973    0.03989656
     1297.253    0.03987374
     1297.534    0.03985091
     1297.814    0.03982809
     1298.095    0.03980527
     1298.375    0.03978249
     1298.656    0.03975967
     1298.937    0.03973684
     1299.218    0.03971402
     1299.499     0.0396912
     1299.781    0.03966831
     1300.062    0.03964531
     1300.343    0.03962163
     1300.625    0.03959796
     1300.906    0.03957428
     1301.187    0.03955061
     1301.469    0.03952694
      1301.75    0.03950327
     1302.032    0.03947961
     1302.314    0.03945594
     1302.595    0.03943228
     1302.877    0.03940862
     1303.159    0.03938496
     1303.441    0.03936131
     1303.723    0.03933765
     1304.005    0.03931399
     1304.287    0.03929035
     1304.569    0.03926669
     1304.852    0.03924299
     1305.134    0.03921939
     1305.416    0.03919575
     1305.698    0.03917211
     1305.981    0.03914846
     1306.263    0.03912482
     1306.546    0.03910118
     1306.828    0.03907755
     1307.112    0.03905385
     1307.395    0.03903022
     1307.677    0.03900659
      1307.96    0.03898295
     1308.243    0.03895933
     1308.526     0.0389357
     1308.809    0.03891208
     1309.092    0.03888851
     1309.375     0.0388649
     1309.658    0.03884128
     1309.942     0.0388176
     1310.225    0.03879437
     1310.509    0.03877123
     1310.792    0.03874809
     1311.076    0.03872496
      1311.36    0.03870182
     1311.643    0.03867869
     1311.927    0.03865557
     1312.211    0.03863244
     1312.495    0.03860931
     1312.779    0.03858619
     1313.063    0.03856307
     1313.347    0.03853995
     1313.631    0.03851683
     1313.915     0.0384937
     1314.199    0.03847059
     1314.483    0.03844748
     1314.768    0.03842437
     1315.053    0.03840119
     1315.337    0.03837807
     1315.621    0.03835503
     1315.906    0.03833193
      1316.19    0.03830883
     1316.475    0.03828572
      1316.76    0.03826262
     1317.045    0.03823951
      1317.33    0.03821635
     1317.615    0.03819327
       1317.9    0.03817017
     1318.185    0.03814708
     1318.471    0.03812398
     1318.756    0.03810089
     1319.041    0.03807779
     1319.326    0.03805478
     1319.612    0.03803163
     1319.897    0.03800859
     1320.183     0.0379854
     1320.468    0.03796225
     1320.754    0.03793908
      1321.04    0.03791592
     1321.326    0.03789277
     1321.611    0.03786961
     1321.897    0.03784646
     1322.183     0.0378233
     1322.469    0.03780014
     1322.755      0.037777
     1323.041    0.03775385
     1323.328     0.0377307
     1323.614    0.03770756
       1323.9    0.03768441
     1324.187    0.03766126
     1324.473    0.03763813
      1324.76    0.03761498
     1325.046    0.03759184
     1325.333    0.03756871
      1325.62    0.03754552
     1325.907    0.03752238
     1326.194    0.03749925
      1326.48    0.03747618
     1326.767    0.03745306
     1327.054    0.03742991
     1327.341     0.0374068
     1327.629    0.03738362
     1327.916    0.03736048
     1328.203    0.03733737
     1328.491    0.03731424
     1328.778    0.03729113
     1329.065    0.03726801
     1329.353    0.03724489
     1329.641    0.03722177
     1329.928    0.03719867
     1330.215    0.03717588
     1330.503    0.03715314
     1330.791    0.03713033
     1331.079    0.03710759
     1331.367    0.03708484
     1331.655    0.03706209
     1331.943    0.03703935
     1332.231     0.0370166
      1332.52    0.03699386
     1332.808    0.03697113
     1333.096    0.03694839
     1333.385     0.0369256
     1333.673    0.03690292
     1333.961     0.0368802
      1334.25    0.03685747
     1334.539    0.03683473
     1334.827      0.036812
     1335.116    0.03678928
     1335.405    0.03676656
     1335.694    0.03674383
     1335.984    0.03672105
     1336.272    0.03669833
     1336.562    0.03667562
      1336.85    0.03665294
     1337.139    0.03663023
     1337.428    0.03660752
     1337.718    0.03658481
     1338.007    0.03656209
     1338.297    0.03653933
     1338.587    0.03651661
     1338.876    0.03649391
     1339.166    0.03647121
     1339.456     0.0364485
     1339.745     0.0364258
     1340.035    0.03640284
     1340.325    0.03637806
     1340.615    0.03635328
     1340.905     0.0363285
     1341.195    0.03630373
     1341.485    0.03627895
     1341.775    0.03625418
     1342.066    0.03622941
     1342.356    0.03620464
     1342.646    0.03617988
     1342.937    0.03615511
     1343.227    0.03613035
     1343.519    0.03610553
     1343.809    0.03608077
     1344.099    0.03605607
      1344.39    0.03603132
     1344.681    0.03600656
     1344.972     0.0359818
     1345.263    0.03595706
     1345.554    0.03593231
     1345.845    0.03590756
     1346.136    0.03588281
     1346.428    0.03585802
     1346.719    0.03583328
      1347.01    0.03580853
     1347.302    0.03578379
     1347.593    0.03575906
     1347.884    0.03573439
     1348.176     0.0357096
     1348.467    0.03568492
      1348.76    0.03566014
     1349.051    0.03563541
     1349.343    0.03561069
     1349.635    0.03558596
     1349.927    0.03556125
     1350.219    0.03553506
     1350.511    0.03550839
     1350.803    0.03548172
     1351.095    0.03545507
     1351.388     0.0354284
      1351.68    0.03540176
     1351.973     0.0353751
     1352.265    0.03534847
     1352.557    0.03532182
      1352.85    0.03529518
     1353.143    0.03526855
     1353.435    0.03524193
     1353.728    0.03521531
     1354.022    0.03518862
     1354.315      0.035162
     1354.607    0.03513546
       1354.9    0.03510885
     1355.193    0.03508225
     1355.486    0.03505564
     1355.779    0.03502905
     1356.073    0.03500245
     1356.366    0.03497587
     1356.659     0.0349493
     1356.954    0.03492264
     1357.247    0.03489608
     1357.541     0.0348695
     1357.834    0.03484294
     1358.128    0.03481638
     1358.422    0.03478981
     1358.716    0.03476327
     1359.009    0.03473678
     1359.304    0.03471017
     1359.598    0.03468363
     1359.892    0.03465708
     1360.186    0.03462758
      1360.48    0.03459631
     1360.775    0.03456507
     1361.069    0.03453383
     1361.363    0.03450259
     1361.658    0.03447135
     1361.953    0.03444013
     1362.247    0.03440891
     1362.542    0.03437769
     1362.837    0.03434648
     1363.131    0.03431528
     1363.426    0.03428409
     1363.721    0.03425289
     1364.016    0.03422171
     1364.311    0.03419053
     1364.607    0.03415927
     1364.902     0.0341281
     1365.198    0.03409693
     1365.493    0.03406578
     1365.788    0.03403463
     1366.084    0.03400347
     1366.378    0.03397242
     1366.674    0.03394127
      1366.97    0.03391015
     1367.265    0.03387902
