WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.004924E-16
PIVWV    r 5013.257
BANDW    r 48.2887
TPEAK    r 0.008138288
EQUVW    r 0.2914694
RECTW    r 35.81459
EMFLX    r 1.092269E-14
     1984.628   4.675027E-9
     1984.981   4.708445E-9
     1985.336   4.742025E-9
      1985.69   4.775651E-9
     1986.043   4.809218E-9
     1986.397   4.842961E-9
     1986.752   4.876736E-9
     1987.105   4.910467E-9
      1987.46   4.944359E-9
     1987.814   4.978298E-9
     1988.169   5.012294E-9
     1988.524   5.046338E-9
     1988.878   5.080333E-9
     1989.233   5.114480E-9
     1989.588   5.148687E-9
     1989.941   5.182833E-9
     1990.297   5.192433E-9
     1990.652   5.197155E-9
     1991.007   5.201881E-9
     1991.362   5.206606E-9
     1991.717   5.211336E-9
     1992.072   5.216054E-9
     1992.427   5.220790E-9
     1992.783   5.225526E-9
     1993.137   5.230250E-9
     1993.493   5.234992E-9
     1993.849   5.239736E-9
     1994.204   5.244482E-9
      1994.56   5.249231E-9
     1994.915   5.253967E-9
     1995.271   5.258722E-9
     1995.627   5.263476E-9
     1995.983   5.268236E-9
     1996.338   5.272981E-9
     1996.694   5.277744E-9
     1997.051   5.282511E-9
     1997.407   5.287279E-9
     1997.763   5.292050E-9
     1998.119   5.296807E-9
     1998.475   5.301582E-9
     1998.832   5.306361E-9
     1999.187   5.311124E-9
     1999.544   5.315907E-9
     1999.901   5.320692E-9
     2000.257   5.307639E-9
     2000.615   5.287533E-9
     2000.972   5.267446E-9
     2001.328   5.247371E-9
     2001.685   5.227190E-9
     2002.042   5.206961E-9
     2002.398   5.186743E-9
     2002.755   5.166420E-9
     2003.113   5.146054E-9
     2003.469   5.125700E-9
     2003.828   5.105171E-9
     2004.184   5.084723E-9
     2004.542   5.064162E-9
     2004.899   5.043559E-9
     2005.256   5.022975E-9
     2005.614   5.002279E-9
     2005.972   4.981529E-9
     2006.329   4.960738E-9
     2006.686   4.939960E-9
     2007.046   4.919010E-9
     2007.403   4.898137E-9
     2007.761   4.877157E-9
     2008.119   4.856126E-9
     2008.476   4.835115E-9
     2008.835   4.813988E-9
     2009.193   4.792812E-9
      2009.55   4.771664E-9
     2009.909   4.750390E-9
     2010.269   4.733693E-9
     2010.626   4.718639E-9
     2010.985   4.703500E-9
     2011.344   4.688323E-9
     2011.702   4.673160E-9
     2012.061   4.657916E-9
      2012.42   4.642635E-9
     2012.778   4.627361E-9
     2013.137   4.612008E-9
     2013.496   4.596616E-9
     2013.855   4.581191E-9
     2014.215   4.565728E-9
     2014.573   4.550277E-9
     2014.932   4.534741E-9
     2015.292   4.519173E-9
     2015.652   4.503564E-9
      2016.01   4.487970E-9
      2016.37   4.472291E-9
      2016.73   4.456576E-9
     2017.089   4.440824E-9
     2017.449   4.425031E-9
     2017.808   4.409254E-9
     2018.168   4.393395E-9
     2018.528   4.377496E-9
     2018.888   4.361608E-9
     2019.248   4.345636E-9
     2019.608   4.329631E-9
     2019.968   4.313587E-9
     2020.329   4.314490E-9
     2020.689   4.317024E-9
     2021.049   4.319550E-9
     2021.409   4.322082E-9
      2021.77   4.324615E-9
      2022.13   4.327140E-9
     2022.491   4.329671E-9
     2022.851   4.332203E-9
     2023.212   4.334733E-9
     2023.573   4.337263E-9
     2023.933   4.339785E-9
     2024.295   4.342316E-9
     2024.656   4.344844E-9
     2025.017   4.347373E-9
     2025.377   4.349893E-9
     2025.739   4.352422E-9
     2026.099   4.354940E-9
      2026.46   4.357466E-9
     2026.823   4.360001E-9
     2027.184   4.362519E-9
     2027.545   4.365044E-9
     2027.907   4.367569E-9
     2028.268   4.370086E-9
      2028.63   4.372610E-9
     2028.992   4.375134E-9
     2029.353   4.377648E-9
     2029.716   4.380178E-9
     2030.078   4.381520E-9
     2030.439   4.378568E-9
     2030.802   4.375596E-9
     2031.164   4.372614E-9
     2031.525   4.369630E-9
     2031.888   4.366624E-9
      2032.25   4.363609E-9
     2032.612   4.360591E-9
     2032.974   4.357554E-9
     2033.337   4.354504E-9
       2033.7   4.351444E-9
     2034.063   4.348373E-9
     2034.425   4.345299E-9
     2034.788   4.342205E-9
     2035.151   4.339101E-9
     2035.513   4.335995E-9
     2035.876   4.332867E-9
      2036.24   4.329719E-9
     2036.603   4.326580E-9
     2036.966   4.323419E-9
      2037.33   4.320245E-9
     2037.692   4.317071E-9
     2038.056   4.313877E-9
     2038.419   4.310670E-9
     2038.782   4.307463E-9
     2039.146   4.304234E-9
      2039.51   4.300994E-9
     2039.873   4.297741E-9
     2040.237   4.292448E-9
     2040.601   4.286058E-9
     2040.964   4.279667E-9
     2041.329   4.273242E-9
     2041.693   4.266798E-9
     2042.056   4.260357E-9
      2042.42   4.253879E-9
     2042.785   4.247383E-9
     2043.149   4.240871E-9
     2043.514   4.234340E-9
     2043.877   4.227811E-9
     2044.242   4.221247E-9
     2044.607   4.214663E-9
     2044.971   4.208085E-9
     2045.335   4.201467E-9
       2045.7   4.194832E-9
     2046.064   4.188200E-9
     2046.431   4.181510E-9
     2046.796   4.174823E-9
      2047.16   4.168137E-9
     2047.525   4.161417E-9
      2047.89   4.154676E-9
     2048.255   4.147940E-9
      2048.62   4.141164E-9
     2048.986   4.134368E-9
     2049.351   4.127560E-9
     2049.717   4.120731E-9
     2050.083   4.117060E-9
     2050.448   4.124226E-9
     2050.813   4.131418E-9
     2051.179   4.138624E-9
     2051.544   4.145817E-9
      2051.91   4.153037E-9
     2052.276   4.160269E-9
     2052.641   4.167485E-9
     2053.009   4.174757E-9
     2053.374   4.181992E-9
      2053.74   4.189259E-9
     2054.107   4.196534E-9
     2054.472   4.203792E-9
     2054.839   4.211086E-9
     2055.206   4.218388E-9
     2055.571   4.225674E-9
     2055.939   4.233016E-9
     2056.306   4.240345E-9
     2056.672   4.247658E-9
     2057.039   4.255002E-9
     2057.406   4.262355E-9
     2057.771   4.269695E-9
     2058.139   4.277069E-9
     2058.506   4.284454E-9
     2058.872   4.291821E-9
      2059.24   4.299217E-9
     2059.608   4.306649E-9
     2059.975   4.314045E-9
     2060.342   4.329040E-9
     2060.708   4.344576E-9
     2061.076   4.360186E-9
     2061.444   4.375826E-9
     2061.812   4.391478E-9
     2062.179   4.407120E-9
     2062.548   4.422876E-9
     2062.915   4.438550E-9
     2063.283   4.454307E-9
     2063.651   4.470085E-9
     2064.018   4.485843E-9
     2064.386   4.501663E-9
     2064.755   4.517517E-9
     2065.122   4.533338E-9
      2065.49   4.549243E-9
     2065.859   4.565160E-9
     2066.228   4.581109E-9
     2066.596   4.597079E-9
     2066.965   4.613081E-9
     2067.333   4.629052E-9
     2067.702   4.645097E-9
     2068.071   4.661162E-9
     2068.438   4.677208E-9
     2068.808   4.693328E-9
     2069.177   4.709468E-9
     2069.546   4.725631E-9
     2069.915   4.741815E-9
